gene_id,flag_immuno_gene,flag_diabetes_gene,flag_pseudogene
AGBL3,0,0,0
AGBL4,0,0,0
AGBL5,0,0,0
AGFG1,0,0,0
AGFG2andIRS3L,1,0,0
AGGF1,0,0,0
AGGF1P1,0,0,0
AGK,0,0,0
AGL,0,0,0
AGMAT,0,0,0
AGPAT1,1,0,0
AGPAT2,0,0,0
AGPAT3,0,0,0
AGPAT4,0,0,0
AGPAT5,0,0,0
AGPAT6,0,0,0
AGPAT9,0,0,0
AGPHD1,0,0,0
AGPS,0,0,0
AGR2,0,0,0
AGR3,0,0,0
AGRN,0,0,0
AGRP,0,0,0
AGT,0,0,0
AGTPBP1,0,0,0
AGTR1,0,0,0
AGTR2,0,0,0
AGTRAP,0,0,0
AGXT,0,0,0
AGXT2,0,0,0
AGXT2L1,0,0,0
AGXT2L2,0,0,0
AHCTF1,0,0,0
AHCTF1P1,0,0,0
AHCY,0,0,0
AHCYL1,0,0,0
AHCYL2,0,0,0
AHDC1,0,0,0
AHI1,1,0,0
AHNAK,0,0,0
AHNAK2,0,0,0
AHR,0,0,0
AHSA1,0,0,0
AHSA2,1,0,0
AHSG,0,0,0
AHSP,0,0,0
AICDA,0,0,0
AIDA,0,0,0
AIF1,1,0,0
AIF1L,0,0,0
AIFM1,0,0,0
AIFM3andLZTR1,0,0,0
AIG1,0,0,0
AIM1,0,0,0
AIM1L,0,0,0
AIM2,0,0,0
AIMP1,0,0,0
AIMP2,0,0,0
AIP,0,0,0
AIPL1,0,0,0
AIRE,0,0,0
AJAP1,0,0,0
AK2,0,0,0
AK2P1,0,0,0
AK3,0,0,0
AK3L2,0,0,0
AK3P1,0,0,0
AK4,0,0,0
AK5,1,0,0
AK7,0,0,0
AKAP1,0,0,0
AKAP10,0,0,0
AKAP11,1,0,0
AKAP12,0,0,0
AKAP13,0,0,0
AKAP3,0,0,0
AKAP4,0,0,0
AKAP5,0,0,0
AKAP6,0,0,0
AKAP7,0,0,0
AKAP8,0,0,0
AKAP8L,0,0,0
AKAP9,0,0,0
AKD1,0,0,0
AKIRIN1,0,0,0
AKIRIN2andNCRNA00120,0,0,0
AKNA,0,0,0
AKR1A1,0,0,0
AKR1B1,0,0,0
AKR1B10,0,0,0
AKR1B15,0,0,0
AKR1B1P3,0,0,0
AKR1B1P7,0,0,0
AKR1C2,0,0,0
AKR1C4,0,0,0
AKR1CL1,0,0,0
AKR1D1,0,0,0
AKR1E2andAKR1C1andAKR1C3,0,0,0
AKR7A2,0,0,0
AKR7A3,0,0,0
AKR7L,0,0,0
AKT1,0,0,0
AKT1S1andPNKP,0,0,0
AKT2,0,0,0
AKT3,0,0,0
AKTIP,0,0,0
ALAD,0,0,0
ALAS1,0,0,0
ALAS2,0,0,0
ALB,0,0,0
ALCAM,0,0,0
ALDH16A1,0,0,0
ALDH18A1,0,0,0
ALDH1A1,0,0,0
ALDH1A2,0,0,0
ALDH1A3,0,0,0
ALDH1B1,0,0,0
ALDH1L1,0,0,0
ALDH1L2,0,0,0
ALDH2,1,0,0
ALDH3A1,0,0,0
ALDH3A2,0,0,0
ALDH3B1,0,0,0
ALDH3B2,0,0,0
ALDH4A1,0,0,0
ALDH5A1,0,0,0
ALDH6A1,0,0,0
ALDH7A1,0,0,0
ALDH9A1,0,0,0
ALDOA,1,0,0
ALDOAP2,0,0,0
ALDOB,0,0,0
ALDOC,0,0,0
ALG10,0,0,0
ALG10B,0,0,0
ALG11andUTP14C,0,0,0
ALG12,0,0,0
ALG13,0,0,0
ALG14,0,0,0
ALG1L,0,0,0
ALG1L2,0,0,0
ALG2,0,0,0
ALG3,0,0,0
ALG5,0,0,0
ALG6,0,0,0
ALG8,0,0,0
ALK,0,0,0
ALKBH1,0,0,0
ALKBH2,0,0,0
ALKBH3,0,0,0
ALKBH4,0,0,0
ALKBH5,0,0,0
ALKBH6andC19orf46,0,0,0
ALKBH7,0,0,0
ALKBH8,0,0,0
ALLC,0,0,0
ALMS1,0,0,0
ALMS1P,0,0,0
ALOX12,0,0,0
ALOX12B,0,0,0
ALOX12P2,0,0,0
ALOX15,0,0,0
ALOX15B,0,0,0
ALOX15P,0,0,0
ALOX5,0,0,0
ALOX5AP,0,0,0
ALOXE3,0,0,0
ALPI,0,0,0
ALPK1,0,0,0
ALPK2,0,0,0
ALPK3,0,0,0
ALPL,0,0,0
ALPP,0,0,0
ALPPL2,0,0,0
ALS2,0,0,0
ALS2CL,0,0,0
ALS2CR11,1,0,0
ALS2CR4,0,0,0
ALS2CR8,0,0,0
ALX1,0,0,0
ALX3,0,0,0
ALX4,0,0,0
AMAC1,0,0,0
AMAC1L2,0,0,0
AMAC1L3,0,0,0
AMBN,0,0,0
AMBP,0,0,0
AMBRA1,1,0,0
AMD1,0,0,0
AMD1.1,0,0,0
AMDHD1,0,0,0
AMDHD2,0,0,0
AMELX,0,0,0
AMELY,0,0,0
AMFR,0,0,0
AMH,0,0,0
AMHR2,0,0,0
AMICA1,0,0,0
AMIGO1,0,0,0
AMIGO2,0,0,0
AMMECR1,0,0,0
AMMECR1L,0,0,0
AMN,1,0,0
AMN1,0,0,0
AMOT,0,0,0
AMOTL1,0,0,0
AMOTL2,0,0,0
AMPD1andDENND2CandBCAS2,0,0,0
AMPD2,0,0,0
AMPD3,0,0,0
AMPH,0,0,0
AMTN,0,0,0
AMY1A,0,0,0
AMY1B,0,0,0
AMY1C,0,0,0
AMY2A,0,0,0
AMYP1,0,0,0
AMZ1,1,0,0
AMZ2,0,0,0
AMZ2P1,0,0,0
ANAPC1,0,0,0
ANAPC10,0,0,0
ANAPC10P1,0,0,0
ANAPC11andNPB,0,0,0
ANAPC13,0,0,0
ANAPC16,0,0,0
ANAPC2,0,0,0
ANAPC4,0,0,0
ANAPC5,0,0,0
ANGEL1,0,0,0
ANGEL2,0,0,0
ANGPT1,0,0,0
ANGPT2,0,0,0
ANGPT4,0,0,0
ANGPTL1,0,0,0
ANGPTL2,0,0,0
ANGPTL3,0,0,0
ANGPTL4,0,0,0
ANGPTL5,0,0,0
ANGPTL6,0,0,0
ANGPTL7,0,0,0
ANGandRNASE4,0,0,0
ANK1,0,0,0
ANK2,0,0,0
ANK3,0,0,0
ANKAR,0,0,0
ANKDD1B,0,0,0
ANKFN1,0,0,0
ANKFY1,0,0,0
ANKH,0,0,0
ANKHD1-EIF4EBP3,0,0,0
ANKIB1,0,0,0
ANKK1,0,0,0
ANKLE2,0,0,0
ANKMY1,0,0,0
ANKMY2,0,0,0
ANKRA2,0,0,0
ANKRD1,0,0,0
ANKRD10,0,0,0
ANKRD11,0,0,0
ANKRD12,0,0,0
ANKRD13A,0,0,0
ANKRD13B,0,0,0
ANKRD13C,0,0,0
ANKRD13D,0,0,0
ANKRD16andRPL12P28,0,0,0
ANKRD17,0,0,0
ANKRD18B,0,0,0
ANKRD19,0,0,0
ANKRD2,0,0,0
ANKRD20A1,0,0,0
ANKRD20A2,0,0,0
ANKRD20A3,0,0,0
ANKRD20A4,0,0,0
ANKRD20A5,0,0,0
ANKRD20B,0,0,0
ANKRD22,0,0,0
ANKRD24,0,0,0
ANKRD26,0,0,0
ANKRD26P1,0,0,0
ANKRD27,0,0,0
ANKRD28,0,0,0
ANKRD29,0,0,0
ANKRD30A,0,0,0
ANKRD30B,0,0,0
ANKRD30BL,0,0,0
ANKRD30BP1,0,0,0
ANKRD30BP2,0,0,0
ANKRD31,0,0,0
ANKRD32,0,0,0
ANKRD33,0,0,0
ANKRD33B,0,0,0
ANKRD34A,0,0,0
ANKRD34B,0,0,0
ANKRD34C,0,0,0
ANKRD35andPIAS3,0,0,0
ANKRD36,0,0,0
ANKRD36B,0,0,0
ANKRD36BP1,0,0,0
ANKRD37,0,0,0
ANKRD39andANKRD23,0,0,0
ANKRD40,0,0,0
ANKRD42andRPL32P24,0,0,0
ANKRD43,0,0,0
ANKRD44,1,0,0
ANKRD45,1,0,0
ANKRD46andGAPDHL7,0,0,0
ANKRD49,0,0,0
ANKRD5,0,0,0
ANKRD50,0,0,0
ANKRD52,1,0,0
ANKRD53,0,0,0
ANKRD54,0,0,0
ANKRD55,1,0,0
ANKRD56,0,0,0
ANKRD57,0,0,0
ANKRD57P1,0,0,0
ANKRD58,0,0,0
ANKRD6,0,0,0
ANKRD62,0,0,0
ANKRD9,0,0,0
ANKS1A,1,0,0
ANKS1B,0,0,0
ANKS4B,0,0,0
ANKS6,0,0,0
ANKZF1,0,0,0
ANLN,0,0,0
ANO1,0,0,0
ANO10,0,0,0
ANO2,0,0,0
ANO3,0,0,0
ANO4,0,0,0
ANO5,0,0,0
ANO6,0,0,0
ANO7,0,0,0
ANO8,0,0,0
ANO9,1,0,0
ANP32A,0,0,0
ANP32B,0,0,0
ANP32BP1,0,0,0
ANP32C,0,0,0
ANP32D,0,0,0
ANP32E,0,0,0
ANPEP,0,0,0
ANTXR1,0,0,0
ANTXR2,0,0,0
ANTXRL,0,0,0
ANUBL1,0,0,0
ANXA1,0,0,0
ANXA10,0,0,0
ANXA11,0,0,0
ANXA13,0,0,0
ANXA2,0,0,0
ANXA2P1,0,0,0
ANXA2P2,0,0,0
ANXA2P3,0,0,0
ANXA3,0,0,0
ANXA4,0,0,0
ANXA5,0,0,0
ANXA6,1,0,0
ANXA7,0,0,0
ANXA8L2,0,0,0
ANXA9,0,0,0
AOAH,0,0,0
AOC2,1,0,0
AOC3,1,0,0
AOX1,0,0,0
AOX2P,1,0,0
AP1AR,0,0,0
AP1B1,0,0,0
AP1G1,0,0,0
AP1M1,0,0,0
AP1M2,1,0,0
AP1S1,0,0,0
AP1S2,0,0,0
AP2A1,0,0,0
AP2A2,0,0,0
AP2B1andRPL17P42,0,0,0
AP2M1,0,0,0
AP2S1,0,0,0
AP3B1,0,0,0
AP3B2,0,0,0
AP3D1andMOBKL2A,0,0,0
AP3M1,0,0,0
AP3M2,0,0,0
AP3S1,0,0,0
AP4B1,1,0,0
AP4E1,0,0,0
AP4M1,0,0,0
AP4S1,0,0,0
APAF1,0,0,0
APBA1,0,0,0
APBA2,0,0,0
APBA3,0,0,0
APBB1,0,0,0
APBB1IP,0,0,0
APBB2,0,0,0
APBB3andSRA1,0,0,0
APC2,0,0,0
