origin,comp_anno_in,expressed_in,COUNT,PERCENT
4_simonly,3_mel_sim,3_mel_sim,11,0.01951392584708178
4_simonly,3_mel_sim,4_sim_only,49,0.0869256696824552
4_simonly,3_mel_sim,7_not_expressed,262,0.46478623381231154
4_simonly,4_simonly,4_sim_only,20,0.03547986517651233
4_simonly,4_simonly,7_not_expressed,92,0.1632073798119567
4_simonly,6_other,3_mel_sim,3,0.005321979776476849
4_simonly,6_other,4_mel_only,1,0.0017739932588256165
4_simonly,6_other,4_san_only,1,0.0017739932588256165
4_simonly,6_other,4_sim_only,20,0.03547986517651233
4_simonly,6_other,4_yak_only,1,0.0017739932588256165
4_simonly,6_other,4_zser_only,5,0.008869966294128083
4_simonly,6_other,6_other,9,0.015965939329430547
4_simonly,6_other,7_not_expressed,100,0.17739932588256166
4_yakonly,1_all_5_species,1_all_5,53,0.09402164271775768
4_yakonly,1_all_5_species,2_the4,54,0.09579563597658329
4_yakonly,1_all_5_species,3_mel_sim,45,0.07982969664715274
4_yakonly,1_all_5_species,3_yak_san,72,0.12772751463544438
4_yakonly,1_all_5_species,4_mel_only,52,0.09224764945893206
4_yakonly,1_all_5_species,4_san_only,103,0.1827213056590385
4_yakonly,1_all_5_species,4_sim_only,58,0.10289160901188577
4_yakonly,1_all_5_species,4_yak_only,184,0.3264147596239134
4_yakonly,1_all_5_species,4_zser_only,63,0.11176157530601383
4_yakonly,1_all_5_species,6_other,226,0.40092247649458934
4_yakonly,1_all_5_species,7_not_expressed,2498,4.43143516054639
4_yakonly,2_the4,2_the4,11,0.01951392584708178
4_yakonly,2_the4,3_mel_sim,2,0.003547986517651233
4_yakonly,2_the4,3_yak_san,36,0.06386375731772219
4_yakonly,2_the4,4_mel_only,7,0.012417952811779315
4_yakonly,2_the4,4_san_only,55,0.0975696292354089
4_yakonly,2_the4,4_sim_only,7,0.012417952811779315
4_yakonly,2_the4,4_yak_only,68,0.12063154160014192
4_yakonly,2_the4,6_other,32,0.05676778428241973
4_yakonly,2_the4,7_not_expressed,908,1.6107858790136598
4_yakonly,3_yak_san,3_yak_san,11,0.01951392584708178
4_yakonly,3_yak_san,4_san_only,21,0.03725385843533795
4_yakonly,3_yak_san,4_yak_only,38,0.06741174383537343
4_yakonly,3_yak_san,6_other,1,0.0017739932588256165
4_yakonly,3_yak_san,7_not_expressed,216,0.38318254390633316
4_yakonly,4_yakonly,4_yak_only,2,0.003547986517651233
4_yakonly,4_yakonly,7_not_expressed,21,0.03725385843533795
4_yakonly,6_other,3_mel_sim,1,0.0017739932588256165
4_yakonly,6_other,3_yak_san,8,0.014191946070604932
4_yakonly,6_other,4_mel_only,2,0.003547986517651233
4_yakonly,6_other,4_san_only,3,0.005321979776476849
4_yakonly,6_other,4_sim_only,1,0.0017739932588256165
4_yakonly,6_other,4_yak_only,16,0.028383892141209864
4_yakonly,6_other,6_other,7,0.012417952811779315
4_yakonly,6_other,7_not_expressed,176,0.3122228135533085
4_zseronly,1_all_5_species,1_all_5,149,0.2643249955650169
4_zseronly,1_all_5_species,2_the4,32,0.05676778428241973
