B52,B52_A B52_B
CG2140,CG2140_A CG2140_B
CG2144,CG2144
CG2146,CG2146_A CG2146_B
CG2147,CG2147
CG2151,CG2151
CG2152,CG2152_A CG2152_B
CG2155,CG2155
CG2158,CG2158
CG2160,CG2160
CG2161,CG2161
CG2163,CG2163
CG2168,CG2168
CG2171,CG2171
CG2173,CG2173
CG2175,CG2175
CG2177,CG2177
CG2179,CG2179
CG2182,CG2182
CG2183,CG2183
CG2184,CG2184
CG2185,CG2185
CG2189,CG2189
CG2194,CG2194
CG2199,CG2199
CG2200,CG2200
CG2201,CG2201_A CG2201_B
CG2202,CG2202
CG2204,CG2204
CG2206,CG2206_A CG2206_B
CG2207,CG2207
CG2210,CG2210
CG2212,CG2212_A CG2212_B
CG2216,CG2216
CG2217,CG2217
CG2218,CG2218
CG2219,CG2219
CG2221,CG2221
CG2224,CG2224
CG2225,CG2225
CG2229,CG2229
CG2238,CG2238
CG2239,CG2239_A CG2239_B
CG2244,CG2244
CG2245,CG2245
CG2246,CG2246
CG2247,CG2247
CG2248,CG2248
CG2249,CG2249
CG2252,CG2252
CG2253,CG2253
CG2254,CG2254
CG2257,CG2257
CG2258,CG2258
CG2260,CG2260
CG2261,CG2261
CG2262,CG2262
CG2263,CG2263
CG2264,CG2264
CG2269,CG2269
CG2272,CG2272
CG2275,CG2275
CG2278,CG2278
CG2286,CG2286
CG2297,CG2297
CG2302,CG2302
CG2304,CG2304
CG2316,CG2316
CG2330,CG2330
CG2331,CG2331
CG2341,CG2341
CG2342,CG2342
CG2358,CG2358
CG2360,CG2360
CG2368,CG2368
CG2371,CG2371
CG2374,CG2374
CG2380,CG2380
CG2381,CG2381
CG2397,CG2397
CG2411,CG2411
CG2412,CG2412
CG2446,CG2446
CG2448,CG2448
CG2453,CG2453
CG2467,CG2467
CG2469,CG2469
CG2471,CG2471
CG2478,CG2478
CG2493,CG2493
CG2503,CG2503
CG2505,CG2505
CG2507,CG2507_A CG2507_B
CG2508,CG2508
CG2512,CG2512
CG2519,CG2519
CG2520,CG2520_A CG2520_B
CG2522,CG2522
CG2528,CG2528
CG2530,CG2530
CG2540,CG2540
CG2555,CG2555
CG2556,CG2556
CG2560,CG2560
CG2604,CG2604
CG2608,CG2608
CG2614,CG2614
CG2615,CG2615
CG2617,CG2617
CG2621,CG2621
CG2637,CG2637
CG2641,CG2641
CG2647,CG2647
CG2656,CG2656
CG2658,CG2658_A CG2658_B
CG2662,CG2662
CG2665,CG2665
CG2670,CG2670
CG2671,CG2671
CG2674,CG2674
CG2675,CG2675
CG2677,CG2677
CG2679,CG2679
CG2681,CG2681
CG2682,CG2682
CG2684,CG2684
CG2685,CG2685
CG2691,CG2691
CG2694,CG2694
CG2698,CG2698_A CG2698_B
CG2699,CG2699
CG2701,CG2701
CG2702,CG2702
CG2708,CG2708
CG2711,CG2711
CG2713,CG2713
CG2715,CG2715
CG2718,CG2718
CG2720,CG2720
CG2727,CG2727
CG2736,CG2736
CG2746,CG2746
CG2747,CG2747
CG2759,CG2759
CG2762,CG2762
CG2765,CG2765
CG2767,CG2767
CG2774,CG2774
CG2781,CG2781
CG2789,CG2789
CG2790,CG2790
CG2791,CG2791
CG2794,CG2794
CG2803,CG2803
CG2807,CG2807
CG2811,CG2811
CG2813,CG2813
CG2818,CG2818
CG2819,CG2819
CG2822,CG2822
CG2827,CG2827
CG2835,CG2835
CG2841,CG2841
CG2843,CG2843
CG2845,CG2845
CG2846,CG2846
CG2849,CG2849_A CG2849_B
CG2852,CG2852
CG2861,CG2861
CG2862,CG2862
CG2863,CG2863
CG2864,CG2864
CG2865,CG2865
CG2867,CG2867
CG2872,CG2872
CG2875,CG2875
CG2889,CG2889
CG2890,CG2890
CG2899,CG2899
CG2902,CG2902
CG2904,CG2904
CG2906,CG2906_A CG2906_B
CG2909,CG2909
CG2910,CG2910
CG2911,CG2911
CG2913,CG2913
CG2915,CG2915
CG2917,CG2917
CG2918,CG2918
CG2921,CG2921
CG2922,CG2922
CG2924,CG2924
CG2925,CG2925
CG2926,CG2926
CG2928,CG2928
CG2929,CG2929_A CG2929_B
CG2930,CG2930
CG2931,CG2931
CG2934,CG2934
CG2937,CG2937
CG2938,CG2938
CG2941,CG2941
CG2943,CG2943
CG2944,CG2944
CG2945,CG2945
CG2947,CG2947
CG2948,CG2948
CG2950,CG2950
CG2956,CG2956
CG2957,CG2957
CG2958,CG2958
CG2960,CG2960
CG2961,CG2961
CG2962,CG2962
CG2968,CG2968
CG2969,CG2969
CG2970,CG2970
CG2972,CG2972
CG2976,CG2976
CG2977,CG2977
CG2980,CG2980
CG2981,CG2981
CG2982,CG2982
CG2986,CG2986
CG2987,CG2987
CG2993,CG2993
CG2995,CG2995
CG2999,CG2999
CG3000,CG3000
CG30000,CG30000
CG30002,CG30002
CG30005,CG30005
CG30007,CG30007
CG30008,CG30008
CG3001,CG3001_A CG3001_B
CG30010,CG30010
CG30011,CG30011
CG30015,CG30015
CG3002,CG3002
CG30021,CG30021
CG30022,CG30022
CG30025,CG30025
CG30028,CG30028
CG30031,CG30031
CG30035,CG30035_A CG30035_B
CG30040,CG30040
CG30050,CG30050
CG30051,CG30051
CG30059,CG30059
CG30069,CG30069
CG30073,CG30073
CG30076,CG30076
CG30077,CG30077
CG3008,CG3008
CG30081,CG30081
CG30084,CG30084_A CG30084_B
CG30085,CG30085
CG30089,CG30089
CG30092,CG30092
CG30096,CG30096
CG30105,CG30105
CG30109,CG30109
CG3011,CG3011
CG30115,CG30115
CG30116,CG30116
CG30118,CG30118_A CG30118_B
CG30122,CG30122
CG30128,CG30128
CG30152,CG30152
CG30158,CG30158
CG30159,CG30159
CG3016,CG3016
CG30163,CG30163
CG30169,CG30169
CG3017,CG3017
CG30172,CG30172
CG30173,CG30173
CG30176,CG30176
CG3018,CG3018
CG30183,CG30183_A CG30183_B
CG30187,CG30187
CG3019,CG3019_A CG3019_B
CG30197,CG30197
CG3021,CG3021
CG3022,CG3022
CG3024,CG3024
CG3025,CG3025
CG3027,CG3027
CG30270,CG30270
CG30273,CG30273
CG3028,CG3028
CG30281,CG30281
CG30284,CG30284
CG3029,CG3029
CG30291,CG30291
CG30296,CG30296_A CG30296_B
CG3032,CG3032
CG30323,CG30323
CG3033,CG3033
CG3034,CG3034
CG30342,CG30342
CG30344,CG30344
CG30345,CG30345
CG30349,CG30349
CG30354,CG30354
CG30359,CG30359
CG30361,CG30361
CG30362,CG30362
CG30363,CG30363
CG30364,CG30364
CG30365,CG30365
CG30372,CG30372
CG30373,CG30373
CG3038,CG3038
CG30380,CG30380
CG30381,CG30381
CG30382,CG30382
CG30388,CG30388
CG30389,CG30389
CG3039,CG3039
CG30390,CG30390
CG30394,CG30394
CG3040,CG3040
CG30401,CG30401
CG30403,CG30403
CG30404,CG30404
CG30410,CG30410
CG30415,CG30415
CG30418,CG30418
CG30420,CG30420_A CG30420_B
CG30421,CG30421
CG30423,CG30423
CG30424,CG30424
CG30425,CG30425
CG30427,CG30427_A CG30427_B
CG30428,CG30428
CG30429,CG30429
CG30431,CG30431
CG30432,CG30432
CG30438,CG30438
CG30440,CG30440
CG30441,CG30441
CG30443,CG30443
CG30445,CG30445
CG30450,CG30450
CG30456,CG30456
CG30457,CG30457
CG30460,CG30460
CG30463,CG30463_A CG30463_B
CG30467,CG30467
CG30469,CG30469
CG3047,CG3047
CG30476,CG30476
CG3048,CG3048
CG30481,CG30481
CG30483,CG30483
CG30484,CG30484
CG30489,CG30489
CG30491,CG30491
CG30493,CG30493
CG30495,CG30495
CG30497,CG30497
CG30498,CG30498
CG30499,CG30499
CG3050,CG3050
CG30503,CG30503
CG3051,CG3051
CG3056,CG3056
CG3057,CG3057
CG3058,CG3058
CG3059,CG3059
CG3060,CG3060
CG3061,CG3061
CG3065,CG3065
CG3066,CG3066
CG3071,CG3071
CG3073,CG3073
CG3075,CG3075
CG3077,CG3077
CG3078,CG3078
CG3082,CG3082_A CG3082_B
CG3086,CG3086
CG3090,CG3090
CG3091,CG3091
CG3093,CG3093
CG3095,CG3095
CG3097,CG3097
CG31000,CG31000
CG31005,CG31005
CG31033,CG31033
CG31034,CG31034
CG31036,CG31036
CG31037,CG31037
CG31038,CG31038
CG31039,CG31039
CG31040,CG31040
CG31043,CG31043
CG31045,CG31045
CG31048,CG31048
CG3105,CG3105
CG31051,CG31051
CG31057,CG31057
CG31062,CG31062
CG31064,CG31064_A CG31064_B
CG3107,CG3107
CG31072,CG31072
CG31086,CG31086
CG31088,CG31088
CG3109,CG3109
CG31091,CG31091
CG31092,CG31092
CG31094,CG31094
CG31096,CG31096
CG31098,CG31098
CG31100,CG31100
CG31102,CG31102
CG31103,CG31103
CG31105,CG31105
CG31106,CG31106
CG31108,CG31108
CG31109,CG31109
CG31111,CG31111
CG31116,CG31116
CG31118,CG31118
CG31119,CG31119
CG31120,CG31120
CG31121,CG31121
CG31122,CG31122
CG31127,CG31127
CG31132,CG31132
CG31136,CG31136
CG31137,CG31137
CG3114,CG3114
CG31140,CG31140
CG31145,CG31145
CG31150,CG31150
CG31151,CG31151
CG31155,CG31155
CG31158,CG31158
CG31161,CG31161
CG31163,CG31163
CG31176,CG31176
CG31183,CG31183
CG31184,CG31184
CG31189,CG31189
CG31190,CG31190
CG31191,CG31191_A CG31191_B
CG31195,CG31195
CG31196,CG31196
CG31199,CG31199
CG31205,CG31205
CG31211,CG31211_A CG31211_B
CG31212,CG31212
CG31216,CG31216
CG31217,CG31217
CG31221,CG31221
CG31223,CG31223
CG31224,CG31224
CG31229,CG31229
CG31241,CG31241
CG31247,CG31247
CG31248,CG31248
CG31249,CG31249
CG3125,CG3125
CG31251,CG31251
CG31258,CG31258
CG31268,CG31268
CG3127,CG3127
CG31274,CG31274
CG31278,CG31278
CG31279,CG31279
CG31284,CG31284
CG31289,CG31289
CG3129,CG3129
CG31291,CG31291_A CG31291_B
CG31298,CG31298
CG31299,CG31299
CG31301,CG31301
CG31313,CG31313
CG31317,CG31317
CG3132,CG3132
CG31322,CG31322
CG31323,CG31323
CG31332,CG31332
CG31335,CG31335
CG31342,CG31342_A CG31342_B
CG3135,CG3135
CG31352,CG31352
CG31357,CG31357
CG31358,CG31358
CG31359,CG31359
CG3136,CG3136
CG31360,CG31360
CG31361,CG31361
CG31362,CG31362
CG31363,CG31363_A CG31363_B CG31363_C
CG31366,CG31366
CG31368,CG31368
CG31370,CG31370
CG31374,CG31374
CG31381,CG31381
CG31388,CG31388
CG3139,CG3139
CG31390,CG31390
CG3140,CG3140
CG31423,CG31423
CG31426,CG31426
CG31427,CG31427
CG3143,CG3143
CG31431,CG31431
CG31437,CG31437
CG31439,CG31439
CG31441,CG31441
CG31447,CG31447
CG31449,CG31449
CG31450,CG31450
CG31453,CG31453
CG31457,CG31457
CG31462,CG31462
CG31465,CG31465
CG31472,CG31472
CG31475,CG31475
CG31478,CG31478
CG31481,CG31481
CG3149,CG3149
CG31509,CG31509
CG3151,CG3151
CG31510,CG31510
CG3152,CG3152
CG31522,CG31522_A CG31522_B
CG31523,CG31523
CG3153,CG3153
CG31547,CG31547
CG31548,CG31548
CG31549,CG31549
CG31550,CG31550_A CG31550_B CG31550_C
CG31556,CG31556
CG3156,CG3156
CG31560,CG31560
CG3157,CG3157
CG3159,CG3159
CG31601,CG31601
CG31605,CG31605_A CG31605_B
CG3161,CG3161
CG31611,CG31611
CG31612,CG31612
CG31613,CG31613
CG31617,CG31617
CG31618,CG31618
CG31619,CG31619
CG31622,CG31622_A CG31622_B CG31622_C
CG31623,CG31623
CG31626,CG31626
CG31627,CG31627
CG31628,CG31628
CG3163,CG3163
CG31633,CG31633
CG31635,CG31635
CG31636,CG31636
CG31637,CG31637
CG31638,CG31638
CG3164,CG3164
CG31641,CG31641
CG31643,CG31643
CG31646,CG31646
CG3165,CG3165
CG31650,CG31650
CG31651,CG31651_A CG31651_B
CG3166,CG3166
CG31660,CG31660
CG31663,CG31663
CG31664,CG31664
CG31665,CG31665
CG31666,CG31666
CG3167,CG3167
CG31670,CG31670
CG31671,CG31671
CG31675,CG31675
CG31676,CG31676
CG31678,CG31678
CG31681,CG31681
CG31683,CG31683
CG3169,CG3169
CG31692,CG31692
CG31702,CG31702
CG31703,CG31703
CG31704,CG31704
CG31708,CG31708
CG31709,CG31709
CG3171,CG3171
CG31712,CG31712
CG31713,CG31713
CG31715,CG31715
CG31716,CG31716
CG3172,CG3172
CG31730,CG31730
CG31731,CG31731
CG31732,CG31732_A CG31732_B
CG31739,CG31739
CG3174,CG3174
CG31743,CG31743
CG31744,CG31744
CG31751,CG31751
CG31752,CG31752
CG31753,CG31753
CG3176,CG3176
CG31762,CG31762
CG31764,CG31764
CG31769,CG31769
CG31774,CG31774
CG31775,CG31775
CG31778,CG31778
CG3178,CG3178_A CG3178_B
CG31780,CG31780
CG31783,CG31783
CG31794,CG31794_A CG31794_B
CG31795,CG31795
CG31800,CG31800
CG31809,CG31809
CG31810,CG31810
CG31814,CG31814
CG3182,CG3182
CG31827,CG31827
CG3183,CG3183
CG31832,CG31832
CG31842,CG31842
CG31851,CG31851
CG31852,CG31852
CG31855,CG31855
CG31858,CG31858
CG3186,CG3186
CG31864,CG31864
CG31865,CG31865
CG31866,CG31866
CG31869,CG31869
CG3187,CG3187
CG31871,CG31871
CG31873,CG31873
CG3189,CG3189
CG31904,CG31904
CG31909,CG31909
CG3191,CG3191
CG31910,CG31910
CG3192,CG3192
CG3193,CG3193
CG3194,CG3194
CG31948,CG31948
CG3195,CG3195
CG31961,CG31961
CG31973,CG31973
CG31974,CG31974
CG3198,CG3198
CG31989,CG31989
CG31991,CG31991
CG31992,CG31992
CG31997,CG31997
CG31998,CG31998
CG31999,CG31999
CG32000,CG32000
CG3201,CG3201
CG32016,CG32016
CG32017,CG32017
CG32018,CG32018
CG32019,CG32019
CG32022,CG32022
CG32026,CG32026
CG32029,CG32029
CG3203,CG3203
CG32031,CG32031
CG32032,CG32032
CG32037,CG32037
CG32038,CG32038
CG32039,CG32039
CG3204,CG3204
CG32040,CG32040
CG32042,CG32042
CG32043,CG32043
CG32045,CG32045
CG32052,CG32052
CG32055,CG32055
CG32057,CG32057
CG32062,CG32062
CG32066,CG32066
CG32067,CG32067
CG32068,CG32068
CG32069,CG32069
CG32074,CG32074
CG32075,CG32075
CG32076,CG32076
CG3208,CG3208_A CG3208_B
CG32081,CG32081
CG32085,CG32085
CG32087,CG32087
CG3209,CG3209
CG32095,CG32095
CG3210,CG3210
CG32103,CG32103_A CG32103_B
CG32104,CG32104
CG32112,CG32112
CG32113,CG32113
CG32115,CG32115
CG32121,CG32121
CG32130,CG32130
CG32133,CG32133
CG32136,CG32136
CG32137,CG32137
CG32138,CG32138
CG3214,CG3214
CG32141,CG32141
CG32147,CG32147
CG32148,CG32148
CG32149,CG32149
CG32150,CG32150_A CG32150_B
CG32156,CG32156_A CG32156_B CG32156_C
CG32163,CG32163
CG32164,CG32164
CG32165,CG32165
CG32169,CG32169_A CG32169_B
CG3217,CG3217
CG32170,CG32170
CG32172,CG32172
CG32174,CG32174
CG32176,CG32176
CG32177,CG32177
CG32179,CG32179
CG3218,CG3218
CG32183,CG32183
CG32187,CG32187
CG32188,CG32188
CG32189,CG32189
CG32190,CG32190
CG32191,CG32191
CG32195,CG32195
CG32196,CG32196
CG32197,CG32197
CG32202,CG32202
CG32204,CG32204
CG32206,CG32206
CG32208,CG32208
CG32209,CG32209
CG32210,CG32210
CG32211,CG32211
CG32213,CG32213
CG32214,CG32214
CG32217,CG32217
CG32220,CG32220
CG32221,CG32221
CG32225,CG32225
CG32226,CG32226
CG32227,CG32227
CG32228,CG32228
CG3223,CG3223
CG32230,CG32230
CG32239,CG32239
CG3224,CG3224
CG32243,CG32243
CG32248,CG32248
CG32249,CG32249
CG3225,CG3225
CG32250,CG32250
CG32258,CG32258
CG3226,CG3226
CG32264,CG32264
CG32267,CG32267
CG3227,CG3227
CG32278,CG32278
CG3228,CG3228
CG32280,CG32280
CG32281,CG32281
CG32296,CG32296
CG32299,CG32299
CG3231,CG3231
CG32315,CG32315
CG32333,CG32333
CG3234,CG3234
CG32344,CG32344
CG32346,CG32346_A CG32346_B
CG32350,CG32350
CG32354,CG32354
CG32364,CG32364
CG32368,CG32368
CG32369,CG32369
CG32373,CG32373
CG32380,CG32380
CG32381,CG32381
CG32382,CG32382
CG3240,CG3240
CG32402,CG32402
CG32405,CG32405
CG32407,CG32407
CG32412,CG32412
CG32417,CG32417
CG32423,CG32423
CG32425,CG32425_A CG32425_B
CG32428,CG32428
CG32432,CG32432
CG32434,CG32434
CG32435,CG32435
CG32438,CG32438
CG3244,CG3244
CG32441,CG32441_A CG32441_B
CG32442,CG32442_A CG32442_B
CG32443,CG32443
CG32444,CG32444
CG32446,CG32446
CG32448,CG32448
CG32450,CG32450
CG32451,CG32451
CG32452,CG32452
CG3246,CG3246
CG32461,CG32461
CG32464,CG32464_A CG32464_B
CG32473,CG32473
CG32479,CG32479
CG3248,CG3248
CG32484,CG32484
CG32485,CG32485
CG32486,CG32486
CG3249,CG3249
CG32490,CG32490
CG32491,CG32491
CG32495,CG32495
CG32498,CG32498
CG32499,CG32499
CG3250,CG3250
CG32500,CG32500
CG32505,CG32505
CG32512,CG32512
CG32513,CG32513
CG32521,CG32521_A CG32521_B CG32521_C CG32521_D
CG32523,CG32523
CG32528,CG32528
CG32529,CG32529
CG3253,CG3253
CG32531,CG32531
CG32532,CG32532
CG32538,CG32538_A CG32538_B
CG32540,CG32540
CG32544,CG32544
CG32549,CG32549
CG32554,CG32554
CG32555,CG32555
CG32562,CG32562
CG32564,CG32564
CG32568,CG32568
CG3257,CG3257
CG32573,CG32573
CG32575,CG32575
CG32576,CG32576
CG32577,CG32577
CG32578,CG32578
CG32579,CG32579
CG32581,CG32581
CG32582,CG32582
CG32590,CG32590
CG32593,CG32593
CG32594,CG32594_A CG32594_B
CG32597,CG32597
CG32598,CG32598
CG32600,CG32600
CG32601,CG32601
CG32604,CG32604
CG32616,CG32616
CG3262,CG3262
CG32626,CG32626
CG32627,CG32627
CG32628,CG32628
CG32632,CG32632
CG32635,CG32635
CG32640,CG32640
CG32641,CG32641
CG32645,CG32645
CG32647,CG32647
CG3265,CG3265
CG32654,CG32654_A CG32654_B
CG32655,CG32655
CG32666,CG32666
CG32667,CG32667
CG32668,CG32668
CG3267,CG3267
CG32670,CG32670
CG32671,CG32671
CG32672,CG32672
CG32673,CG32673
CG32675,CG32675
CG32676,CG32676
CG32677,CG32677
CG32678,CG32678
CG3268,CG3268
CG32685,CG32685
CG32686,CG32686
CG32687,CG32687
CG3269,CG3269
CG32693,CG32693
CG32694,CG32694_A CG32694_B CG32694_C
CG32695,CG32695
CG32697,CG32697
CG32698,CG32698
CG32699,CG32699
CG3270,CG3270
CG32700,CG32700
CG32701,CG32701
CG32702,CG32702
CG32706,CG32706
CG32707,CG32707
CG32708,CG32708
CG3271,CG3271
CG32711,CG32711
CG32713,CG32713
CG32717,CG32717
CG32721,CG32721
CG32726,CG32726
CG3273,CG3273
CG32732,CG32732
CG32736,CG32736
CG3274,CG3274
CG32742,CG32742
CG32743,CG32743
CG32750,CG32750
CG32756,CG32756
CG32758,CG32758
CG32767,CG32767
CG32772,CG32772
CG32773,CG32773
CG32774,CG32774
CG32775,CG32775
CG3278,CG3278
CG32783,CG32783
CG32786,CG32786
CG32788,CG32788
CG32789,CG32789
CG3279,CG3279
CG32791,CG32791
CG32792,CG32792
CG32795,CG32795
CG32797,CG32797
CG32803,CG32803
CG32806,CG32806
CG32809,CG32809_A CG32809_B
CG3281,CG3281
CG32810,CG32810
CG32813,CG32813
CG32815,CG32815
CG32816,CG32816
CG32817,CG32817
CG32823,CG32823
CG32829,CG32829
CG3283,CG3283
CG32845,CG32845
CG32848,CG32848
CG32850,CG32850
CG32853,CG32853
CG32854,CG32854
CG32856,CG32856
CG32857,CG32857
CG32858,CG32858
CG32904,CG32904
CG3291,CG3291_A CG3291_B
CG32939,CG32939
CG32944,CG32944_A CG32944_B
CG32945,CG32945
CG3297,CG3297
CG32975,CG32975_A CG32975_B
CG32982,CG32982_A CG32982_B
CG32985,CG32985
CG3299,CG3299
CG3303,CG3303
CG33048,CG33048_A CG33048_B
CG3305,CG3305
CG33051,CG33051
CG33052,CG33052
CG33054,CG33054
CG33056,CG33056
CG33057,CG33057
CG3306,CG3306
CG3307,CG3307
CG3308,CG3308
CG33087,CG33087
CG33090,CG33090
CG33094,CG33094
CG33095,CG33095
CG33096,CG33096
CG33098,CG33098
CG33100,CG33100
CG33101,CG33101
CG33104,CG33104
CG33106,CG33106
CG33107,CG33107
CG33108,CG33108
CG33110,CG33110
CG33111,CG33111
CG33113,CG33113_A CG33113_B
CG33115,CG33115
CG33116,CG33116
CG3312,CG3312
CG33120,CG33120
CG33121,CG33121
CG33129,CG33129_A CG33129_B
CG3313,CG3313
CG33130,CG33130
CG33131,CG33131
CG33134,CG33134
CG33135,CG33135_A CG33135_B
CG33136,CG33136
CG33138,CG33138
CG33139,CG33139
CG3314,CG3314
CG33143,CG33143
CG33145,CG33145
CG33152,CG33152
CG33155,CG33155
CG33156,CG33156
CG33158,CG33158
CG33162,CG33162
CG33169,CG33169
CG33174,CG33174_A CG33174_B
CG33178,CG33178
CG33179,CG33179
CG3318,CG3318
CG33180,CG33180
CG33181,CG33181
CG33182,CG33182
CG33183,CG33183
CG3319,CG3319
CG33196,CG33196
CG33197,CG33197_A CG33197_B
CG33199,CG33199
CG3320,CG3320
CG33202,CG33202
CG33203,CG33203
CG33206,CG33206
CG33207,CG33207
CG33208,CG33208_A CG33208_B
CG3321,CG3321
CG33214,CG33214
CG33217,CG33217
CG33223,CG33223
CG33228,CG33228
CG33230,CG33230
CG33233,CG33233_A CG33233_B
CG33234,CG33234
CG33236,CG33236
CG33237,CG33237
CG33238,CG33238
CG33239,CG33239
CG33240,CG33240
CG33241,CG33241
CG33242,CG33242
CG33243,CG33243
CG33244,CG33244
CG33245,CG33245
CG33246,CG33246
CG33247,CG33247
CG33250,CG33250
CG33260,CG33260
CG33261,CG33261
CG33268,CG33268
CG33269,CG33269
CG33273,CG33273
CG33275,CG33275
CG33276,CG33276
CG33288,CG33288
CG33289,CG33289
CG3329,CG3329
CG33290,CG33290
CG33298,CG33298
CG33300,CG33300
CG33304,CG33304
CG33307,CG33307
CG33320,CG33320
CG33323,CG33323
CG33329,CG33329
CG3333,CG3333
CG33332,CG33332
CG33336,CG33336_A CG33336_B
CG33338,CG33338
CG33348,CG33348
CG33349,CG33349
CG3335,CG3335
CG33350,CG33350
CG3338,CG3338
CG3340,CG3340
CG3342,CG3342
CG3345,CG3345
CG33466,CG33466
CG33470,CG33470
CG33472,CG33472
CG3348,CG3348
CG33481,CG33481
CG33484,CG33484_A CG33484_B
CG33485,CG33485
CG33486,CG33486
CG33487,CG33487
CG33488,CG33488
CG33491,CG33491
CG33493,CG33493
CG33496,CG33496
CG33497,CG33497
CG33498,CG33498
CG33499,CG33499
CG3350,CG3350
CG33502,CG33502
CG33503,CG33503
CG33505,CG33505
CG33506,CG33506
CG33507,CG33507
CG33509,CG33509
CG3351,CG3351
CG33512,CG33512
CG33513,CG33513
CG33517,CG33517_A CG33517_B
CG33519,CG33519
CG3352,CG3352
CG33521,CG33521
CG33522,CG33522_A CG33522_B
CG33523,CG33523
CG33526,CG33526_A CG33526_B
CG33527,CG33527
CG33528,CG33528_A CG33528_B
CG3353,CG3353
CG33531,CG33531
CG33543,CG33543
CG33546,CG33546
CG33547,CG33547
CG33548,CG33548
CG33552,CG33552
CG33554,CG33554
CG33558,CG33558_A CG33558_B
CG3356,CG3356
CG3358,CG3358
CG3360,CG3360
CG3361,CG3361
CG3362,CG3362
CG3363,CG3363
CG33635,CG33635
CG33639,CG33639
CG33640,CG33640
CG33642,CG33642
CG33649,CG33649
CG3365,CG3365_A CG3365_B
CG33650,CG33650
CG33653,CG33653
CG33664,CG33664
CG33665,CG33665
CG33666,CG33666
CG33667,CG33667
CG33668,CG33668
CG33669,CG33669
CG33671,CG33671
CG33672,CG33672
CG3368,CG3368
CG33694,CG33694
CG33695,CG33695
CG33696,CG33696
CG3371,CG3371
CG33713,CG33713
CG33714,CG33714
CG33718,CG33718
CG33720,CG33720
CG33721,CG33721
CG33722,CG33722
CG3373,CG3373
CG33748,CG33748
CG3376,CG3376
CG33777,CG33777
CG33786,CG33786
CG3379,CG3379
CG3380,CG3380
CG33801,CG33801
CG33803,CG33803
CG33804,CG33804
CG33806,CG33806
CG33807,CG33807
CG33808,CG33808
CG33809,CG33809
CG33810,CG33810
CG33812,CG33812
CG33813,CG33813
CG33814,CG33814
CG33815,CG33815
CG33816,CG33816
CG33817,CG33817
CG33818,CG33818
CG33819,CG33819
CG33820,CG33820
CG33821,CG33821
CG33822,CG33822
CG33823,CG33823
CG33824,CG33824
CG33825,CG33825
CG33826,CG33826
CG33827,CG33827
CG33828,CG33828
CG33829,CG33829
CG33830,CG33830
CG33831,CG33831
CG33832,CG33832
CG33833,CG33833
CG33834,CG33834
CG33835,CG33835
CG33836,CG33836
CG33837,CG33837
CG33838,CG33838
CG33839,CG33839
CG33840,CG33840
CG33841,CG33841
CG33842,CG33842
CG33843,CG33843
CG33844,CG33844
CG33845,CG33845
CG33846,CG33846
CG33847,CG33847
CG33848,CG33848
CG33849,CG33849
CG33850,CG33850
CG33851,CG33851
CG33852,CG33852
CG33853,CG33853
CG33854,CG33854
CG33855,CG33855
CG33856,CG33856
CG33857,CG33857
CG33858,CG33858
CG33859,CG33859
CG3386,CG3386
CG33860,CG33860
CG33861,CG33861
CG33862,CG33862
CG33863,CG33863
CG33864,CG33864
CG33865,CG33865
CG33866,CG33866
CG33868,CG33868
CG33869,CG33869
CG33870,CG33870
CG33871,CG33871
CG33872,CG33872
CG33873,CG33873
CG33874,CG33874
CG33875,CG33875
CG33876,CG33876
CG33877,CG33877
CG33878,CG33878
CG33879,CG33879
CG33880,CG33880
CG33881,CG33881
CG33882,CG33882
CG33883,CG33883
CG33884,CG33884
CG33885,CG33885
CG33886,CG33886
CG33887,CG33887
CG33888,CG33888
CG33889,CG33889
CG33890,CG33890
CG33891,CG33891
CG33892,CG33892
CG33893,CG33893
CG33894,CG33894
CG33895,CG33895
CG33896,CG33896
CG33897,CG33897
CG33898,CG33898
CG33899,CG33899
CG33900,CG33900
CG33901,CG33901
CG33902,CG33902
CG33903,CG33903
CG33904,CG33904
CG33905,CG33905
CG33906,CG33906
CG33907,CG33907
CG33908,CG33908
CG33909,CG33909
CG33910,CG33910
CG33912,CG33912
CG33919,CG33919
CG33924,CG33924
CG33931,CG33931
CG33932,CG33932
CG33934,CG33934
CG33937,CG33937
CG3395,CG3395
CG33950,CG33950
CG33955,CG33955
CG33956,CG33956
CG33960,CG33960
CG33964,CG33964
CG33967,CG33967
CG33968,CG33968
CG33969,CG33969
CG3397,CG3397
CG33976,CG33976
CG33977,CG33977
CG33978,CG33978
CG33979,CG33979
CG33981,CG33981
CG33983,CG33983
CG33988,CG33988
CG33990,CG33990
CG33991,CG33991_A CG33991_B
CG33995,CG33995
CG33996,CG33996
CG3400,CG3400
CG34002,CG34002
CG3401,CG3401
CG34015,CG34015
CG3402,CG3402
CG34028,CG34028
CG3403,CG3403
CG34030,CG34030
CG34038,CG34038
CG3409,CG3409
CG34099,CG34099
CG34100,CG34100
CG34104,CG34104
CG34105,CG34105
CG34107,CG34107
CG3411,CG3411_A CG3411_B
CG34114,CG34114
CG34116,CG34116
CG34117,CG34117
CG3412,CG3412
CG34120,CG34120
CG34123,CG34123
CG34125,CG34125
CG34126,CG34126
CG34127,CG34127
CG3413,CG3413
CG34132,CG34132
CG34133,CG34133
CG34134,CG34134
CG34135,CG34135
CG34136,CG34136
