B52,B52_A B52_B
CG11111,CG11111
CG11115,CG11115
CG1112,CG1112
CG11121,CG11121
CG11122,CG11122
CG11123,CG11123
CG11124,CG11124
CG11125,CG11125
CG11127,CG11127
CG11128,CG11128
CG11130,CG11130
CG11134,CG11134
CG11137,CG11137
CG11138,CG11138
CG11139,CG11139
CG11140,CG11140
CG11141,CG11141
CG11143,CG11143
CG11144,CG11144
CG11147,CG11147
CG11148,CG11148
CG1115,CG1115
CG11151,CG11151
CG11152,CG11152
CG11153,CG11153
CG11154,CG11154_A CG11154_B
CG11155,CG11155_A CG11155_B
CG11156,CG11156
CG1116,CG1116
CG11163,CG11163
CG11166,CG11166
CG11172,CG11172
CG11173,CG11173
CG11180,CG11180
CG11183,CG11183
CG11186,CG11186
CG1119,CG1119
CG11191,CG11191
CG11198,CG11198
CG11199,CG11199
CG11205,CG11205
CG11206,CG11206_A CG11206_B
CG1121,CG1121
CG11210,CG11210
CG11211,CG11211
CG11212,CG11212
CG11217,CG11217
CG11219,CG11219
CG11221,CG11221
CG11238,CG11238
CG1124,CG1124
CG11241,CG11241_A CG11241_B
CG11242,CG11242
CG11246,CG11246
CG11247,CG11247_A CG11247_B
CG11248,CG11248
CG11255,CG11255
CG11258,CG11258
CG11259,CG11259
CG11262,CG11262
CG11263,CG11263
CG11265,CG11265
CG11266,CG11266
CG11267,CG11267
CG11268,CG11268
CG11269,CG11269
CG11271,CG11271
CG11274,CG11274
CG11276,CG11276
CG1128,CG1128
CG11280,CG11280
CG11281,CG11281
CG11282,CG11282
CG11284,CG11284
CG1129,CG1129
CG11290,CG11290
CG11294,CG11294
CG11299,CG11299
CG1130,CG1130
CG11301,CG11301
CG11303,CG11303_A CG11303_B
CG11305,CG11305
CG11306,CG11306
CG11307,CG11307
CG11309,CG11309
CG1131,CG1131
CG11315,CG11315
CG11317,CG11317
CG11324,CG11324
CG11325,CG11325
CG11326,CG11326_A CG11326_B
CG11328,CG11328_A CG11328_B CG11328_C
CG11331,CG11331
CG11334,CG11334
CG11337,CG11337
CG1134,CG1134
CG11345,CG11345
CG11347,CG11347
CG11348,CG11348_A CG11348_B
CG1135,CG1135
CG11352,CG11352
CG11353,CG11353
CG11354,CG11354
CG11357,CG11357
CG11360,CG11360
CG11367,CG11367
CG11368,CG11368
CG11371,CG11371
CG11372,CG11372
CG11374,CG11374
CG11375,CG11375
CG11376,CG11376
CG11377,CG11377
CG11378,CG11378
CG11380,CG11380
CG11381,CG11381
CG11387,CG11387
CG11388,CG11388
CG11390,CG11390
CG11396,CG11396
CG11397,CG11397
CG11399,CG11399
CG1140,CG1140
CG11405,CG11405
CG11407,CG11407
CG11412,CG11412_A CG11412_B
CG11413,CG11413
CG11414,CG11414
CG11416,CG11416
CG11417,CG11417
CG11418,CG11418_A CG11418_B
CG11419,CG11419
CG1142,CG1142
CG11423,CG11423
CG11425,CG11425
CG11426,CG11426
CG11430,CG11430_A CG11430_B
CG11438,CG11438
CG11440,CG11440
CG11444,CG11444
CG11448,CG11448
CG11450,CG11450
CG11455,CG11455
CG11456,CG11456
CG11458,CG11458
CG11459,CG11459
CG11466,CG11466
CG1147,CG1147
CG11471,CG11471
CG11474,CG11474
CG1148,CG1148
CG11486,CG11486
CG11488,CG11488
CG11489,CG11489_A CG11489_B
CG11490,CG11490
CG11491,CG11491
CG11495,CG11495
CG11502,CG11502
CG11504,CG11504
CG11505,CG11505
CG11513,CG11513
