Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG08_i5-509_i7-176_S464_L003_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG06_i5-509_i7-174_S462_L003_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW180220900_UFE_172202_P05_WG02_i5-509_i7-170_S857_L005_R2_001_fastqc,PASS,WARN,WARN,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,27.27
RAPiD-Genomics_GW180409000_UFE_172202_P05_WG10_i5-509_i7-178_S466_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WE03_i5-509_i7-147_S435_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WF11_i5-509_i7-167_S455_L002_R2_001_fastqc,PASS,WARN,WARN,FAIL,FAIL,WARN,PASS,PASS,FAIL,FAIL,FAIL,27.27
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WF01_i5-509_i7-157_S445_L002_R2_001_fastqc,PASS,WARN,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,36.36
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WG08_i5-509_i7-176_S464_L001_R1_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_HLY23BBXX_UFE_172202_P05_WD05_i5-509_i7-137_S425_L001_R2_001_fastqc,PASS,PASS,PASS,FAIL,FAIL,FAIL,PASS,PASS,WARN,FAIL,FAIL,45.45
RAPiD-Genomics_GW1804061006_UFE_172202_P05_WD07_i5-509_i7-139_S427_L002_R2_001_fastqc,PASS,WARN,WARN,FAIL,FAIL,WARN,PASS,PASS,FAIL,FAIL,FAIL,27.27
