sampleID	oldSampleID	set	batch	rack_position	run_order	tube_sample	genotype	wormgrowth_sample_name	Solvent	parameters	sample
aos85_ga_ms2_140	aos85_ga_ms2_NMR_CDCL3_140	3	6	D10	140	nmr130	VC2524	aos85_ga_ms2	CDCl3	proton	aos85
aos86_ga_ms2_65	aos86_ga_ms2_NMR_CDCL3_65	2	3	B7	65	nmr59	KJ550	aos86_ga_ms2	CDCl3	proton	aos86
aos87_co_ms3_72	aos87_co_ms3_NMR_CDCL3_72	2	4	C2	72	nmr67	PD1074	aos87_co_ms3	CDCl3	proton	aos87
aos87_ga_ms3_118	aos87_ga_ms3_NMR_CDCL3_118	3	5	B12	118	nmr107	PD1074	aos87_ga_ms3	CDCl3	proton	aos87
aos88_ga_ms2_138	aos88_ga_ms2_NMR_CDCL3_138	3	6	D8	138	nmr128	UGT49	aos88_ga_ms2	CDCl3	proton	aos88
aos90_ga_ms3_66	aos90_ga_ms3_NMR_CDCL3_66	2	3	B8	66	nmr60	PD1074	aos90_ga_ms3	CDCl3	proton	aos90
aos91_ga_ms2_119	aos91_ga_ms2_NMR_CDCL3_119	3	5	C1	119	nmr108	AUM2073	aos91_ga_ms2	CDCl3	proton	aos91
aos92_ga_ms2_77	aos92_ga_ms2_NMR_CDCL3_77	2	4	C7	77	nmr72	PD1074	aos92_ga_ms2	CDCl3	proton	aos92
aos93_ga_ms2_78	aos93_ga_ms2_NMR_CDCL3_78	2	4	C8	78	nmr73	VC1265	aos93_ga_ms2	CDCl3	proton	aos93
aos94_ga_ms2_139	aos94_ga_ms2_NMR_CDCL3_139	3	6	D9	139	nmr129	VC2524	aos94_ga_ms2	CDCl3	proton	aos94
aos95_ga_ms2_79	aos95_ga_ms2_NMR_CDCL3_79	2	4	C9	79	nmr74	RB2347	aos95_ga_ms2	CDCl3	proton	aos95
aos96_ga_ms2_74	aos96_ga_ms2_NMR_CDCL3_74	2	4	C4	74	nmr69	RB2550	aos96_ga_ms2	CDCl3	proton	aos96
aos98_ga_ms2_67	aos98_ga_ms2_NMR_CDCL3_67	2	3	B9	67	nmr61	VC1265	aos98_ga_ms2	CDCl3	proton	aos98
aos99_ga_ms2_26	aos99_ga_ms2_NMR_CDCL3_26	1	2	C2	26	nmr26	PD1074	aos99_ga_ms2	CDCl3	proton	aos99
aos99_ga_ms2_68	aos99_ga_ms2_NMR_CDCL3_68	2	3	B10	68	nmr62	PD1074	aos99_ga_ms2	CDCl3	proton	aos99
aos99_ga_ms2_141	aos99_ga_ms2_NMR_CDCL3_141	3	6	D11	141	nmr131	PD1074	aos99_ga_ms2	CDCl3	proton	aos99
pooled_natural_isolate_42	pooled_natural_isolate_NMR_CDCL3_42	1	2	D6	42	pooled_natural_isolate	pooled_natural_isolate	pooled_natural_isolate	CDCl3	proton	pooled
pooled_pd1074_43	pooled_pd1074_NMR_CDCL3_43	1	2	D7	43	pooled_pd1074	pooled_pd1074	pooled_pd1074	CDCl3	proton	pooled
pooled_mutant_90	pooled_mutant_NMR_CDCL3_90	2	4	D8	90	pooled_mutant	pooled_mutant	pooled_mutant	CDCl3	proton	pooled
pooled_pd1074_91	pooled_pd1074_NMR_CDCL3_91	2	4	D9	91	pooled_pd1074	pooled_pd1074	pooled_pd1074	CDCl3	proton	pooled
pooled_mutant_142	pooled_mutant_NMR_CDCL3_142	3	6	D12	142	pooled_mutant	pooled_mutant	pooled_mutant	CDCl3	proton	pooled
pooled_pd1074_143	pooled_pd1074_NMR_CDCL3_143	3	6	E1	143	pooled_pd1074	pooled_pd1074	pooled_pd1074	CDCl3	proton	pooled
solera_3	solera_NMR_CDCL3_3	1	1	A3	3	nmr2	solera	solera	CDCl3	proton	solera
solera_44	solera_NMR_CDCL3_44	1	2	D8	44	nmr23	solera	solera	CDCl3	proton	solera
solera_49	solera_NMR_CDCL3_49	2	3	A3	49	nmr43	solera	solera	CDCl3	proton	solera
solera_92	solera_NMR_CDCL3_92	2	4	D10	92	nmr64	solera	solera	CDCl3	proton	solera
solera_97	solera_NMR_CDCL3_97	3	5	A3	97	nmr86	solera	solera	CDCl3	proton	solera
solera_144	solera_NMR_CDCL3_144	3	6	E2	144	nmr110	solera	solera	CDCl3	proton	solera
