gene_id,cellType,pval_het_overall,pval_mod_overall,flag_sig_het_overall,flag_sig_mod_overall,pval_het_exon,pval_mod_exon,flag_sig_het_exon,flag_sig_mod_exon,pval_het_intron,pval_mod_intron,flag_sig_het_intron,flag_sig_mod_intron,count_total_frags,count_exon_frags,count_intron_frags,flag_t1d_gene,flag_immune_gene,pval_het_sex_diff,flag_sig_het_sex_diff,flag_sig_heterogeneity_F,flag_sig_heterogeneity_M,pval_heterogeneity_F,pval_heterogeneity_M
ENSG00000090372,CD8,0.0694,0.0005,0.0,1.0,0.0635,0.0002,0.0,1.0,1.0,0.5822,0.0,0.0,18.0,17.0,1.0,1.0,1.0,0.0009,1.0,1.0,0.0,0.0154,0.5962
ENSG00000100385,CD8,0.9999,0.0001,0.0,1.0,0.9999,0.0001,0.0,1.0,,,,,11.0,11.0,0.0,1.0,1.0,0.9764,0.0,0.0,0.0,0.995,0.9957
ENSG00000103811,CD8,0.9441,0.0017,0.0,1.0,0.9441,0.0017,0.0,1.0,,,,,6.0,6.0,0.0,1.0,1.0,0.4346,0.0,0.0,0.0,0.9971,0.5869
ENSG00000105287,CD8,0.2814,0.1316,0.0,0.0,0.2814,0.1316,0.0,0.0,,,,,17.0,17.0,0.0,1.0,1.0,0.8917,0.0,0.0,0.0,0.6882,0.1048
ENSG00000105397,CD8,0.1599,0.0712,0.0,0.0,0.1905,0.0447,0.0,1.0,1.0,0.4021,0.0,0.0,30.0,29.0,1.0,1.0,1.0,0.1192,0.0,0.0,0.0,0.5571,0.0638
ENSG00000109787,CD8,0.9509,0.4202,0.0,0.0,0.9509,0.4202,0.0,0.0,,,,,5.0,5.0,0.0,1.0,0.0,0.539,0.0,0.0,0.0,0.9188,0.7767
ENSG00000110448,CD8,0.2758,0.1509,0.0,0.0,0.2758,0.1509,0.0,0.0,,,,,9.0,9.0,0.0,1.0,1.0,0.8439,0.0,0.0,0.0,0.7152,0.0966
ENSG00000110848,CD8,0.9901,0.1715,0.0,0.0,0.9901,0.1715,0.0,0.0,,,,,7.0,7.0,0.0,1.0,1.0,0.9548,0.0,0.0,0.0,0.8606,0.9859
ENSG00000112182,CD8,0.0292,0.0338,1.0,1.0,0.0292,0.0338,1.0,1.0,,,,,34.0,34.0,0.0,1.0,1.0,0.0001,1.0,0.0,1.0,0.8296,0.0009
ENSG00000112685,CD8,0.0872,0.0832,0.0,0.0,0.113,0.1429,0.0,0.0,1.0,0.061,0.0,0.0,38.0,37.0,1.0,1.0,1.0,0.0017,1.0,0.0,0.0,0.1051,0.2314
ENSG00000115267,CD8,0.7918,0.0025,0.0,1.0,0.7918,0.0025,0.0,1.0,,,,,4.0,4.0,0.0,1.0,1.0,0.1832,0.0,0.0,0.0,0.4849,0.8762
ENSG00000118503,CD8,0.7972,0.0022,0.0,1.0,0.8303,0.0025,0.0,1.0,1.0,0.591,0.0,0.0,65.0,64.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.788,0.6271
ENSG00000121797,CD8,0.9384,0.6342,0.0,0.0,0.9384,0.6342,0.0,0.0,,,,,3.0,3.0,0.0,1.0,1.0,0.5493,0.0,0.0,0.0,0.9626,0.6963
ENSG00000122484,CD8,0.0001,0.3048,1.0,0.0,0.0001,0.3048,1.0,0.0,,,,,7.0,7.0,0.0,1.0,1.0,0.2665,0.0,0.0,1.0,0.0875,0.0001
ENSG00000126353,CD8,0.2025,0.512,0.0,0.0,0.2025,0.512,0.0,0.0,,,,,2.0,2.0,0.0,1.0,1.0,0.8726,0.0,0.0,0.0,0.2394,0.1786
ENSG00000132436,CD8,0.5572,0.0393,0.0,1.0,0.5572,0.0393,0.0,1.0,,,,,3.0,3.0,0.0,1.0,1.0,0.1141,0.0,0.0,0.0,0.8418,0.2646
ENSG00000134242,CD8,0.4924,0.1238,0.0,0.0,0.4924,0.1238,0.0,0.0,,,,,16.0,16.0,0.0,1.0,1.0,0.1026,0.0,0.0,0.0,0.6357,0.324
ENSG00000134250,CD8,0.6079,0.0001,0.0,1.0,0.662,0.0001,0.0,1.0,1.0,0.6202,0.0,0.0,52.0,51.0,1.0,1.0,1.0,0.0015,1.0,0.0,0.0,0.7358,0.3892
ENSG00000134453,CD8,0.0727,0.0043,0.0,1.0,0.0678,0.0017,0.0,1.0,0.4046,0.9324,0.0,0.0,15.0,12.0,3.0,1.0,1.0,0.0198,1.0,0.0,0.0,0.0939,0.1968
ENSG00000134460,CD8,1.0,0.6018,0.0,0.0,1.0,0.6018,0.0,0.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,
ENSG00000134882,CD8,0.2024,0.0198,0.0,1.0,0.2024,0.0198,0.0,1.0,,,,,7.0,7.0,0.0,1.0,1.0,0.0149,1.0,0.0,0.0,0.061,0.7145
ENSG00000137265,CD8,0.7386,0.0002,0.0,1.0,0.7386,0.0002,0.0,1.0,,,,,6.0,6.0,0.0,1.0,1.0,0.4221,0.0,0.0,0.0,0.4253,0.8579
ENSG00000138378,CD8,0.8566,0.0001,0.0,1.0,0.833,0.0001,0.0,1.0,0.6724,0.1342,0.0,0.0,45.0,37.0,8.0,1.0,1.0,0.0495,1.0,0.0,0.0,0.6599,0.8502
ENSG00000138688,CD8,1.0,0.0001,0.0,1.0,1.0,0.0001,0.0,1.0,,,,,105.0,105.0,0.0,1.0,1.0,0.9693,0.0,0.0,0.0,1.0,0.9998
ENSG00000139626,CD8,0.9947,0.0013,0.0,1.0,0.9947,0.0013,0.0,1.0,,,,,14.0,14.0,0.0,1.0,1.0,0.8231,0.0,0.0,0.0,0.976,0.9353
ENSG00000144218,CD8,0.9406,0.7864,0.0,0.0,0.9406,0.7864,0.0,0.0,,,,,5.0,5.0,0.0,1.0,1.0,0.726,0.0,0.0,0.0,0.7828,0.8856
ENSG00000150637,CD8,0.1279,0.0908,0.0,0.0,0.1279,0.0908,0.0,0.0,,,,,7.0,7.0,0.0,1.0,1.0,0.0001,1.0,0.0,0.0,0.0974,0.3307
ENSG00000151702,CD8,0.9407,0.0002,0.0,1.0,0.9407,0.0002,0.0,1.0,,,,,5.0,5.0,0.0,1.0,1.0,0.4182,0.0,0.0,0.0,0.7679,0.8988
ENSG00000153814,CD8,0.9489,0.7444,0.0,0.0,0.9489,0.7444,0.0,0.0,,,,,4.0,4.0,0.0,1.0,1.0,0.3581,0.0,0.0,0.0,0.8872,0.7987
ENSG00000160185,CD8,0.0013,0.0001,1.0,1.0,0.001,0.0001,1.0,1.0,0.22,0.0461,0.0,1.0,30.0,28.0,2.0,1.0,1.0,0.0001,1.0,0.0,1.0,0.2415,0.0003
ENSG00000160712,CD8,0.8599,0.0001,0.0,1.0,0.8599,0.0001,0.0,1.0,,,,,8.0,8.0,0.0,1.0,1.0,0.3305,0.0,0.0,0.0,0.7992,0.6964
ENSG00000161405,CD8,0.0667,0.8657,0.0,0.0,0.0667,0.8657,0.0,0.0,,,,,7.0,7.0,0.0,1.0,1.0,0.9705,0.0,0.0,0.0,0.1592,0.0961
ENSG00000162889,CD8,0.7621,0.6696,0.0,0.0,0.7621,0.6696,0.0,0.0,,,,,2.0,2.0,0.0,1.0,1.0,0.2972,0.0,0.0,0.0,0.6034,0.601
ENSG00000162894,CD8,0.4762,0.001,0.0,1.0,0.4762,0.001,0.0,1.0,,,,,2.0,2.0,0.0,1.0,1.0,0.2112,0.0,0.0,0.0,0.2233,0.9773
ENSG00000163600,CD8,0.7244,0.7494,0.0,0.0,0.7244,0.7494,0.0,0.0,,,,,3.0,3.0,0.0,1.0,1.0,0.2404,0.0,0.0,0.0,0.5907,0.6038
ENSG00000163818,CD8,0.3001,0.003,0.0,1.0,0.3001,0.003,0.0,1.0,,,,,9.0,9.0,0.0,1.0,1.0,0.0094,1.0,0.0,0.0,0.0826,0.8147
ENSG00000164691,CD8,0.8605,0.0001,0.0,1.0,0.8552,0.0001,0.0,1.0,0.7661,0.121,0.0,0.0,62.0,59.0,3.0,1.0,1.0,0.001,1.0,0.0,0.0,0.4932,0.9415
ENSG00000164733,CD8,0.9903,0.7343,0.0,0.0,0.9903,0.7343,0.0,0.0,,,,,11.0,11.0,0.0,1.0,0.0,0.8475,0.0,0.0,0.0,0.955,0.9278
ENSG00000168214,CD8,0.951,0.0001,0.0,1.0,0.9238,0.0001,0.0,1.0,0.725,0.6918,0.0,0.0,25.0,22.0,3.0,1.0,0.0,0.4699,0.0,0.0,0.0,0.8302,0.902
ENSG00000171522,CD8,0.9779,0.8205,0.0,0.0,0.9779,0.8205,0.0,0.0,,,,,2.0,2.0,0.0,1.0,1.0,0.9447,0.0,0.0,0.0,0.8574,0.9114
ENSG00000172575,CD8,0.9786,0.0006,0.0,1.0,0.963,0.0039,0.0,1.0,0.929,0.0484,0.0,1.0,34.0,29.0,5.0,1.0,1.0,0.8598,0.0,0.0,0.0,0.9466,0.8802
ENSG00000175354,CD8,0.2991,0.8109,0.0,0.0,0.3285,0.6928,0.0,0.0,0.9876,0.6274,0.0,0.0,24.0,22.0,2.0,1.0,1.0,0.0089,1.0,0.0,0.0,0.3203,0.3535
ENSG00000176476,CD8,0.8534,0.0005,0.0,1.0,0.8534,0.0005,0.0,1.0,,,,,5.0,5.0,0.0,1.0,1.0,0.2915,0.0,0.0,0.0,0.5048,0.9495
ENSG00000178562,CD8,0.8045,0.225,0.0,0.0,0.8045,0.225,0.0,0.0,,,,,5.0,5.0,0.0,1.0,1.0,0.9244,0.0,0.0,0.0,0.6485,0.7228
ENSG00000182108,CD8,1.0,0.5506,0.0,0.0,1.0,0.5506,0.0,0.0,,,,,1.0,1.0,0.0,1.0,1.0,,,,,,
ENSG00000182185,CD8,0.6334,0.0001,0.0,1.0,0.6334,0.0001,0.0,1.0,,,,,8.0,8.0,0.0,1.0,1.0,0.1461,0.0,0.0,0.0,0.6785,0.4485
ENSG00000185650,CD8,0.4736,0.0792,0.0,0.0,0.4736,0.0792,0.0,0.0,,,,,3.0,3.0,0.0,1.0,1.0,0.7048,0.0,0.0,0.0,0.3772,0.4544
ENSG00000185811,CD8,0.1126,0.0001,0.0,1.0,0.1126,0.0001,0.0,1.0,,,,,17.0,17.0,0.0,1.0,1.0,0.0797,0.0,0.0,0.0,0.263,0.1189
ENSG00000188603,CD8,0.0001,0.0001,1.0,1.0,0.0001,0.0001,1.0,1.0,0.1061,0.5152,0.0,0.0,30.0,26.0,4.0,1.0,1.0,0.0001,1.0,1.0,0.0,0.0001,0.2765
ENSG00000213658,CD8,0.0013,0.0001,1.0,1.0,0.0458,0.0001,1.0,1.0,0.0303,0.0087,1.0,1.0,17.0,12.0,5.0,1.0,1.0,0.0001,1.0,0.0,1.0,0.7225,0.0001
