dsim2_geneid,COUNT,PERCENT
FBgn0185494,1,0.0012852149
FBgn0185510,1,0.0012852149
FBgn0185514,1,0.0012852149
FBgn0185521,1,0.0012852149
FBgn0185524,1,0.0012852149
FBgn0185525,1,0.0012852149
FBgn0185533,1,0.0012852149
FBgn0185537,1,0.0012852149
FBgn0185539,1,0.0012852149
FBgn0185553,1,0.0012852149
FBgn0185560,1,0.0012852149
FBgn0185565,1,0.0012852149
FBgn0185573,1,0.0012852149
FBgn0185580,1,0.0012852149
FBgn0185581,1,0.0012852149
FBgn0185585,1,0.0012852149
FBgn0185594,1,0.0012852149
FBgn0185605,1,0.0012852149
FBgn0185606,1,0.0012852149
FBgn0185609,1,0.0012852149
FBgn0185614,1,0.0012852149
FBgn0185619,1,0.0012852149
FBgn0185625,1,0.0012852149
FBgn0185629,1,0.0012852149
FBgn0185634,1,0.0012852149
FBgn0185637,1,0.0012852149
FBgn0185640,1,0.0012852149
FBgn0185643,1,0.0012852149
FBgn0185661,1,0.0012852149
FBgn0185670,1,0.0012852149
FBgn0185677,1,0.0012852149
FBgn0185678,1,0.0012852149
FBgn0185679,1,0.0012852149
FBgn0185688,1,0.0012852149
FBgn0185696,1,0.0012852149
FBgn0185697,1,0.0012852149
FBgn0185699,1,0.0012852149
FBgn0185705,1,0.0012852149
FBgn0185719,1,0.0012852149
FBgn0185725,1,0.0012852149
FBgn0185737,1,0.0012852149
FBgn0185738,1,0.0012852149
FBgn0185748,1,0.0012852149
FBgn0185751,1,0.0012852149
FBgn0185772,1,0.0012852149
FBgn0185792,1,0.0012852149
FBgn0185800,1,0.0012852149
FBgn0185804,1,0.0012852149
FBgn0185805,1,0.0012852149
FBgn0185811,1,0.0012852149
FBgn0185813,1,0.0012852149
FBgn0185814,1,0.0012852149
FBgn0185818,1,0.0012852149
FBgn0185819,1,0.0012852149
FBgn0185824,1,0.0012852149
FBgn0185831,1,0.0012852149
FBgn0185832,1,0.0012852149
FBgn0185834,1,0.0012852149
FBgn0185841,1,0.0012852149
FBgn0185843,1,0.0012852149
FBgn0185868,1,0.0012852149
FBgn0185871,1,0.0012852149
FBgn0185875,1,0.0012852149
FBgn0185893,1,0.0012852149
FBgn0185897,1,0.0012852149
FBgn0185898,1,0.0012852149
FBgn0185900,1,0.0012852149
FBgn0185904,1,0.0012852149
FBgn0185910,1,0.0012852149
FBgn0185920,1,0.0012852149
FBgn0185936,1,0.0012852149
FBgn0185938,1,0.0012852149
FBgn0185939,1,0.0012852149
FBgn0185940,1,0.0012852149
FBgn0185954,1,0.0012852149
FBgn0185964,1,0.0012852149
FBgn0185967,1,0.0012852149
FBgn0185970,1,0.0012852149
FBgn0185971,1,0.0012852149
FBgn0185976,1,0.0012852149
FBgn0185980,1,0.0012852149
FBgn0185981,1,0.0012852149
FBgn0185984,1,0.0012852149
FBgn0186005,1,0.0012852149
FBgn0186009,1,0.0012852149
FBgn0186010,1,0.0012852149
FBgn0186014,1,0.0012852149
FBgn0186037,1,0.0012852149
FBgn0186040,1,0.0012852149
FBgn0186044,1,0.0012852149
FBgn0186045,1,0.0012852149
FBgn0186085,1,0.0012852149
FBgn0186097,1,0.0012852149
FBgn0186104,1,0.0012852149
FBgn0186105,1,0.0012852149
FBgn0186107,1,0.0012852149
FBgn0186112,1,0.0012852149
FBgn0186116,1,0.0012852149
FBgn0186117,1,0.0012852149
FBgn0186123,1,0.0012852149
FBgn0186147,1,0.0012852149
FBgn0186151,1,0.0012852149
FBgn0186164,1,0.0012852149
FBgn0186166,1,0.0012852149
FBgn0186185,1,0.0012852149
FBgn0186196,1,0.0012852149
