comparison,FEATURE_ID,dm12279_01h_num_reps,dm12272_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,prior_dm12272_01h_g1,prior_dm12272_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_01h,FBgn0030479,3,3,38,18,52,43,20,58,0.5185185185185189,0.5185185185185189,0.520661157024793,0.520661157024793,0.8873,0.6786,0.626,0.5008,0.7378,0.048,1,0.6825,0.638,0.5153,0.7456,0.0262,1,0.7763,0.7562,1
dm12279_High_vs_dm12272_High_01h,FBgn0016715,3,3,179,176,5,286,307,15,0.9861111111111109,0.9861111111111109,0.9753289473684209,0.9753289473684209,0.4562,0.5042,0.5202,0.4375,0.6036,0.6271,0,0.4823,0.4799,0.4033,0.5569,0.5813,0,0.9637,1.0444,1
dm12279_High_vs_dm12272_High_01h,FBgn0264294,3,3,393,389,311,1316,26,442,0.7154620311070451,0.7154620311070451,0.7522421524663679,0.7522421524663679,0.1131,0.5026,0.4995,0.3115,0.6897,0.9967,0,0.9806,0.7429,0.4996,0.9221,0.0504,0,1.0222,0.5897,1
dm12279_High_vs_dm12272_High_01h,FBgn0051092,3,3,120,121,41,70,49,288,0.854609929078014,0.854609929078014,0.29238329238329197,0.29238329238329197,0.2622,0.4979,0.5043,0.4205,0.5884,0.9213,0,0.5882,0.5751,0.47600000000000003,0.6678,0.1324,0,0.9951,0.8627,1
dm12279_High_vs_dm12272_High_01h,FBgn0026250,3,3,401,392,135,788,815,200,0.8545258620689659,0.8545258620689659,0.889073765945646,0.889073765945646,0.6747,0.5057,0.5101,0.4438,0.5763,0.748,0,0.4916,0.4923,0.4347,0.5494,0.7856,0,0.982,1.0174,1
dm12279_High_vs_dm12272_High_01h,FBgn0014026,3,3,1117,1013,10602,1940,5135,12449,0.167295004712535,0.167295004712535,0.362374513419381,0.362374513419381,0.2767,0.5244,0.5065,0.3303,0.677,0.9273,0,0.2742,0.3748,0.2356,0.5449,0.1331,0,1.0036,1.3194,1
dm12279_High_vs_dm12272_High_01h,FBgn0010387,3,3,1830,1704,1072,2662,2868,105,0.7672600955275729,0.7672600955275729,0.9813664596273292,0.9813664596273292,0.7859999999999999,0.5178,0.5103,0.3798,0.642,0.8684,0,0.4814,0.4865,0.3701,0.6051,0.8142,0,0.9883,1.0353,1
dm12279_High_vs_dm12272_High_01h,FBgn0031360,3,3,103,104,12,106,125,97,0.9452054794520551,0.9452054794520551,0.7042682926829269,0.7042682926829269,0.7031,0.4976,0.4851,0.3846,0.5828,0.7738,0,0.4589,0.4614,0.3736,0.5522,0.384,0,1.0358,1.0855,1
dm12279_High_vs_dm12272_High_01h,FBgn0027073,3,3,53,96,3,87,158,0,0.9802631578947372,0.9802631578947372,0.5,0.5,0.8678,0.3557,0.4857,0.2787,0.6987,0.8998,0,0.3551,0.4613,0.2719,0.6612,0.7078,0,1.0581,1.1083,1
dm12279_High_vs_dm12272_High_01h,FBgn0016122,3,3,570,6,268,714,13,269,0.682464454976303,0.682464454976303,0.7299196787148591,0.7299196787148591,0.8991,0.9896,0.5895,0.3534,0.7965,0.4438,0,0.9821,0.605,0.3637,0.8089,0.3673,0,0.8517,0.8237,1
dm12279_High_vs_dm12272_High_01h,FBgn0261596,3,3,2478,2676,248,2952,6909,446,0.954091077378749,0.954091077378749,0.9567284369845741,0.9567284369845741,0.0418,0.4808,0.4628,0.3715,0.5539999999999999,0.4149,0,0.2994,0.3253,0.2491,0.4212,0.0036,1,1.0829,1.4526,1
dm12279_High_vs_dm12272_High_01h,FBgn0034902,3,3,207,226,1,236,243,273,0.997695852534562,0.997695852534562,0.6369680851063829,0.6369680851063829,0.828,0.4781,0.4833,0.4102,0.5596,0.6367,0,0.4927,0.494,0.4249,0.564,0.8658,0,1.0372,1.0148,1
