comparison,FEATURE_ID,dm12279_38d_num_reps,dm12272_38d_num_reps,counts_dm12279_38d_g1,counts_dm12279_38d_g2,counts_dm12279_38d_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12279_38d_g1,prior_dm12279_38d_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12279_38d_sampleprop,dm12279_38d_theta,dm12279_38d_q025,dm12279_38d_q975,dm12279_38d_Bayes_evidence,dm12279_38d_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12279_High_vs_dm12272_High_38d,FBgn0036018,3,3,83,53,78,53,61,74,0.635514018691589,0.635514018691589,0.606382978723404,0.606382978723404,0.0804,0.6103,0.5935,0.4955,0.6859999999999999,0.0587,0,0.4649,0.4693,0.3675,0.5713,0.5667,0,0.8304,1.0703,1
dm12279_High_vs_dm12272_High_38d,FBgn0037012,3,3,41,47,143,45,44,73,0.38095238095238104,0.38095238095238104,0.5493827160493829,0.5493827160493829,0.6636,0.4659,0.4711,0.3541,0.5929,0.6278,0,0.5056,0.5057,0.3928,0.6182,0.9184,0,1.0685,0.9952,1
dm12279_High_vs_dm12272_High_38d,FBgn0039590,3,3,47,39,31,60,54,15,0.735042735042735,0.735042735042735,0.8837209302325579,0.8837209302325579,0.8538,0.5465,0.5365,0.4266,0.6448,0.5151,0,0.5263,0.5225,0.4187,0.6268,0.6782,0,0.9346,0.9612,1
dm12279_High_vs_dm12272_High_38d,FBgn0051040,3,3,244,137,2,201,107,3,0.994778067885118,0.994778067885118,0.990353697749196,0.990353697749196,0.9629,0.6404,0.6273,0.5468,0.7018,0.004,1,0.6526,0.6299,0.5432,0.7047,0.0082,1,0.7722,0.768,1
dm12279_High_vs_dm12272_High_38d,FBgn0032358,3,3,523,609,271,333,434,20,0.8068424803991451,0.8068424803991451,0.9745870393900891,0.9745870393900891,0.6887,0.462,0.4637,0.3912,0.5408,0.32799999999999996,0,0.4342,0.4419,0.3669,0.524,0.142,0,1.079,1.1284,1
dm12279_High_vs_dm12272_High_38d,FBgn0039873,3,3,388,362,18,452,330,18,0.9765625,0.9765625,0.9775,0.9775,0.3309,0.5173,0.5227,0.44799999999999995,0.597,0.5244,0,0.578,0.5718,0.4933,0.6437,0.0698,0,0.958,0.8673,1
dm12279_High_vs_dm12272_High_38d,FBgn0039872,3,3,58,67,275,182,139,283,0.3125,0.3125,0.531456953642384,0.531456953642384,0.2873,0.46399999999999997,0.4707,0.3584,0.5875,0.6042,0,0.5670000000000001,0.5564,0.4474,0.6581,0.2938,0,1.0689,0.8972,1
dm12279_High_vs_dm12272_High_38d,FBgn0032350,3,3,5210,4308,170,3637,2831,480,0.982452518579686,0.982452518579686,0.930915371329879,0.930915371329879,0.8273,0.5474,0.5425,0.4636,0.6186,0.2576,0,0.5623,0.5541,0.4767,0.629,0.1604,0,0.9207,0.8994,1
dm12279_High_vs_dm12272_High_38d,FBgn0039876,3,3,85,57,6,60,81,19,0.959459459459459,0.959459459459459,0.88125,0.88125,0.0653,0.5986,0.5699,0.4669,0.6654,0.1793,0,0.4255,0.4362,0.3411,0.5359,0.2016,0,0.8723,1.1443,1
dm12279_High_vs_dm12272_High_38d,FBgn0039875,3,3,55,60,293,65,50,332,0.281862745098039,0.281862745098039,0.25727069351230397,0.25727069351230397,0.4158,0.4783,0.4793,0.359,0.5996,0.728,0,0.5652,0.5505,0.4254,0.6679999999999999,0.4091,0,1.0511,0.9093,1
