comparison,FEATURE_ID,dm12279_01h_num_reps,counts_dm12279_01h_g1,counts_dm12279_01h_g2,counts_dm12279_01h_both,prior_dm12279_01h_g1,prior_dm12279_01h_g2,H3_independence_Bayes_evidence,dm12279_01h_sampleprop,dm12279_01h_theta,dm12279_01h_q025,dm12279_01h_q975,dm12279_01h_Bayes_evidence,dm12279_01h_AI_decision,alpha1_postmean,flaganalyze
dm12279_01h,FBgn0031011,3,43,73,108,0.5178571428571429,0.5178571428571429,NA,0.3707,0.3951,0.2966,0.5029,0.0558,0,1.2482,1
dm12279_01h,FBgn0029897,3,1667,2991,1015,0.8210823197602679,0.8210823197602679,NA,0.3579,0.3581,0.2871,0.4456,0.0064,1,1.3467,1
dm12279_01h,FBgn0036549,3,504,448,21,0.97841726618705,0.97841726618705,NA,0.5294,0.5016,0.4116,0.5832,0.9346,0,1.0006,1
dm12279_01h,FBgn0028662,3,147,152,153,0.6615044247787609,0.6615044247787609,NA,0.4916,0.4858,0.3908,0.5807,0.757,0,1.0339,1
dm12279_01h,FBgn0031228,3,259,432,292,0.7029501525941,0.7029501525941,NA,0.3748,0.3848,0.3014,0.483,0.0271,1,1.2728,1
dm12279_01h,FBgn0000319,3,103,194,61,0.829608938547486,0.829608938547486,NA,0.3468,0.3632,0.2862,0.4504,0.0053,1,1.3323,1
dm12279_01h,FBgn0031145,3,215,113,179,0.6469428007889549,0.6469428007889549,NA,0.6555,0.6293,0.5399,0.7049,0.0086,1,0.769,1
dm12279_01h,FBgn0010198,3,2107,2159,1902,0.691634241245136,0.691634241245136,NA,0.4939,0.4931,0.3288,0.6598,0.9329999999999999,0,1.03,1
dm12279_01h,FBgn0034443,3,488,550,2,0.9980769230769231,0.9980769230769231,NA,0.4701,0.4667,0.3961,0.5389,0.3283,0,1.0721,1
dm12279_01h,FBgn0032138,3,85,69,67,0.69683257918552,0.69683257918552,NA,0.5519,0.5345,0.4237,0.6398,0.5153,0,0.9384,1
dm12279_01h,FBgn0033366,3,128,2,29,0.817610062893082,0.817610062893082,NA,0.9846,0.6920000000000001,0.4052,0.9221,0.1995,0,0.677,1
dm12279_01h,FBgn0050148,3,57,56,2,0.982608695652174,0.982608695652174,NA,0.5044,0.4975,0.3878,0.6048,0.9673,0,1.0114,1
dm12279_01h,FBgn0020521,3,135,37,34,0.83495145631068,0.83495145631068,NA,0.7849,0.74,0.6414,0.8165,0.0007,1,0.593,1
dm12279_01h,FBgn0030744,3,56,53,7,0.9396551724137929,0.9396551724137929,NA,0.5138,0.5007,0.3879,0.6103,0.9817,0,1.0052,1
dm12279_01h,FBgn0038925,3,184,1,17,0.915841584158416,0.915841584158416,NA,0.9946,0.6097,0.3646,0.8292,0.3811,0,0.8170000000000001,1
dm12279_01h,FBgn0031561,3,7092,7342,2402,0.8573295319553341,0.8573295319553341,NA,0.4913,0.4977,0.3234,0.6737,0.9806,0,1.0222,1
dm12279_01h,FBgn0031560,3,1163,1111,505,0.8182799568189999,0.8182799568189999,NA,0.5114,0.4961,0.3829,0.6092,0.9441,0,1.0147,1
dm12279_01h,FBgn0031563,3,235,494,6,0.991836734693878,0.991836734693878,NA,0.3224,0.3247,0.2544,0.4079,0.0025,1,1.4514,1
dm12279_01h,FBgn0039757,3,2336,2119,1812,0.7108664432742942,0.7108664432742942,NA,0.5244,0.5101,0.3254,0.6917,0.9104,0,0.9982,1
dm12279_01h,FBgn0030968,3,246,191,43,0.910416666666667,0.910416666666667,NA,0.5629,0.5642,0.4648,0.6561,0.1732,0,0.8821,1
dm12279_01h,FBgn0039593,3,66,88,5,0.9685534591194971,0.9685534591194971,NA,0.4286,0.4388,0.3406,0.5421,0.2287,0,1.1386,1
