comparison,FEATURE_ID,dm12272_38d_num_reps,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,flaganalyze
dm12272_38d,FBgn0039116,3,110,143,4,0.9844357976653699,0.9844357976653699,NA,0.4348,0.4576,0.3682,0.5545,0.3584,0,1.0947,1
dm12272_38d,FBgn0039110,3,170,175,206,0.626134301270417,0.626134301270417,NA,0.4928,0.4839,0.3578,0.6131,0.7929999999999999,0,1.0421,1
dm12272_38d,FBgn0039111,3,204,185,30,0.928400954653938,0.928400954653938,NA,0.5244,0.5217,0.4451,0.5969,0.5618,0,0.9602,1
dm12272_38d,FBgn0039113,3,107,129,21,0.918287937743191,0.918287937743191,NA,0.4534,0.4621,0.3645,0.5649,0.4362,0,1.0854,1
dm12272_38d,FBgn0053526,3,173,202,596,0.38619979402677707,0.38619979402677707,NA,0.4613,0.4669,0.3771,0.5601,0.4598,0,1.0739,1
dm12272_38d,FBgn0053523,3,256,259,92,0.848434925864909,0.848434925864909,NA,0.4971,0.4946,0.4222,0.5665,0.8832,0,1.0136,1
dm12272_38d,FBgn0017558,3,828,720,2962,0.3432372505543239,0.3432372505543239,NA,0.5349,0.5268,0.4333,0.617,0.542,0,0.9515,1
dm12272_38d,FBgn0263782,3,26,25,88,0.36690647482014394,0.36690647482014394,NA,0.5098,0.5102,0.3784,0.6401,0.8759999999999999,0,0.9886,1
dm12272_38d,FBgn0017550,3,146,142,258,0.527472527472527,0.527472527472527,NA,0.5069,0.5089,0.4178,0.5989,0.8368,0,0.9863,1
dm12272_38d,FBgn0016977,3,46,42,1673,0.0499716070414537,0.0499716070414537,NA,0.5227,0.5154,0.3994,0.6302,0.7883,0,0.976,1
dm12272_38d,FBgn0011259,3,27,28,54,0.504587155963303,0.504587155963303,NA,0.4909,0.494,0.3652,0.6232,0.9278,0,1.0215,1
dm12272_38d,FBgn0016754,3,123,92,221,0.493119266055046,0.493119266055046,NA,0.5721,0.5565,0.456,0.6509,0.2494,0,0.8962,1
dm12272_38d,FBgn0034002,3,168,140,17,0.947692307692308,0.947692307692308,NA,0.5455,0.5393,0.4585,0.617,0.317,0,0.9269,1
dm12272_38d,FBgn0016756,3,348,327,453,0.5984042553191489,0.5984042553191489,NA,0.5156,0.513,0.4373,0.5876,0.7190000000000001,0,0.977,1
dm12272_38d,FBgn0266446,3,255,365,2480,0.2,0.2,NA,0.4113,0.4212,0.3582,0.4883,0.0248,1,1.1758,1
dm12272_38d,FBgn0266449,3,412,431,297,0.739473684210526,0.739473684210526,NA,0.4887,0.4893,0.3993,0.5809,0.8057,0,1.0261,1
dm12272_38d,FBgn0015756,3,722,481,45729,0.0256328304781385,0.0256328304781385,NA,0.6002,0.5906,0.528,0.6481,0.0091,1,0.8336,1
dm12272_38d,FBgn0036668,3,108,68,87,0.6692015209125469,0.6692015209125469,NA,0.6136,0.5955,0.5013,0.6818,0.0472,1,0.8265,1
dm12272_38d,FBgn0283472,3,847,499,519,0.72171581769437,0.72171581769437,NA,0.6293,0.6056,0.5019,0.6942,0.0465,1,0.8096,1
dm12272_38d,FBgn0034734,3,53,61,1,0.991304347826087,0.991304347826087,NA,0.4649,0.4743,0.3701,0.5817,0.6252,0,1.0597,1
dm12272_38d,FBgn0034085,3,22,34,2,0.96551724137931,0.96551724137931,NA,0.3929,0.4233,0.3054,0.5502,0.2244,0,1.18,1
dm12272_38d,FBgn0034084,3,146,100,4,0.9840000000000001,0.9840000000000001,NA,0.5935,0.5783,0.485,0.6625,0.0923,0,0.8566,1
dm12272_38d,FBgn0034086,3,143,165,17,0.947692307692308,0.947692307692308,NA,0.4643,0.4646,0.3798,0.5504,0.405,0,1.0783,1
dm12272_38d,FBgn0034081,3,147,129,2,0.992805755395684,0.992805755395684,NA,0.5326,0.5329,0.4448,0.6189,0.4366,0,0.9395,1
dm12272_38d,FBgn0034083,3,65,80,103,0.584677419354839,0.584677419354839,NA,0.4483,0.4584,0.3568,0.564,0.423,0,1.0944,1
dm12272_38d,FBgn0039120,3,60,89,76,0.662222222222222,0.662222222222222,NA,0.4027,0.415,0.3229,0.514,0.0897,0,1.1954,1
dm12272_38d,FBgn0038649,3,75,44,26,0.820689655172414,0.820689655172414,NA,0.6303,0.5839,0.4383,0.7077,0.2199,0,0.8501,1
dm12272_38d,FBgn0030431,3,248,224,23,0.953535353535354,0.953535353535354,NA,0.5254,0.5219,0.4393,0.6026,0.5716,0,0.9602,1
dm12272_38d,FBgn0030433,3,425,466,61,0.935924369747899,0.935924369747899,NA,0.47700000000000004,0.4731,0.3873,0.5621,0.5081,0,1.06,1
dm12272_38d,FBgn0030342,3,46,73,2,0.983471074380165,0.983471074380165,NA,0.3866,0.4142,0.3113,0.5293,0.1307,0,1.1998,1
dm12272_38d,FBgn0030343,3,56,22,104,0.42857142857142894,0.42857142857142894,NA,0.7179,0.6667,0.5536,0.7661,0.0058,1,0.7090000000000001,1
dm12272_38d,FBgn0036821,3,251,270,1460,0.262998485613327,0.262998485613327,NA,0.4818,0.4791,0.4081,0.5499,0.5508,0,1.0457,1
dm12272_38d,FBgn0030349,3,114,152,107,0.71313672922252,0.71313672922252,NA,0.4286,0.4348,0.3555,0.5185,0.1203,0,1.1453,1
dm12272_38d,FBgn0036775,3,147,138,8,0.972696245733788,0.972696245733788,NA,0.5158,0.5165,0.4321,0.6002,0.6918,0,0.971,1
dm12272_38d,FBgn0036771,3,40,52,30,0.754098360655738,0.754098360655738,NA,0.4348,0.4455,0.3356,0.5588,0.3344,0,1.1249,1
dm12272_38d,FBgn0036770,3,158,186,45,0.884318766066838,0.884318766066838,NA,0.4593,0.4642,0.3873,0.5437,0.3571,0,1.0784,1
