comparison,FEATURE_ID,dm11037_38d_num_reps,dm11255_38d_num_reps,counts_dm11037_38d_g1,counts_dm11037_38d_g2,counts_dm11037_38d_both,counts_dm11255_38d_g1,counts_dm11255_38d_g2,counts_dm11255_38d_both,prior_dm11037_38d_g1,prior_dm11037_38d_g2,prior_dm11255_38d_g1,prior_dm11255_38d_g2,H3_independence_Bayes_evidence,dm11037_38d_sampleprop,dm11037_38d_theta,dm11037_38d_q025,dm11037_38d_q975,dm11037_38d_Bayes_evidence,dm11037_38d_AI_decision,dm11255_38d_sampleprop,dm11255_38d_theta,dm11255_38d_q025,dm11255_38d_q975,dm11255_38d_Bayes_evidence,dm11255_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm11037_Low_vs_dm11255_Low_38d,FBgn0286508,3,3,2785,51,400,3227,68,500,0.876390605686032,0.876390605686032,0.868247694334651,0.868247694334651,0.9082,0.982,0.6324,0.4061,0.8249,0.2347,0,0.9794,0.6469,0.4137,0.8328,0.2036,0,0.7736,0.7493,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0037949,3,3,114,140,35,121,143,142,0.878892733564014,0.878892733564014,0.650246305418719,0.650246305418719,0.9371,0.4488,0.4572,0.3815,0.5354,0.2722,0,0.4583,0.4605,0.3835,0.5383,0.3091,0,1.0938,1.0865,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0037943,3,3,25,23,226,42,25,303,0.17518248175182502,0.17518248175182502,0.18108108108108104,0.18108108108108104,0.4704,0.5208,0.5106,0.3704,0.6429,0.8671,0,0.6269,0.581,0.445,0.7042,0.2207,0,0.9887,0.8549,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0037942,3,3,55,73,18,113,116,27,0.8767123287671229,0.8767123287671229,0.89453125,0.89453125,0.4289,0.4297,0.4394,0.3437,0.5385,0.212,0,0.4934,0.4904,0.4057,0.5755,0.8149,0,1.1368,1.0234,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0038912,3,3,85,135,72,98,134,46,0.753424657534247,0.753424657534247,0.8345323741007191,0.8345323741007191,0.6944,0.3864,0.4122,0.3255,0.5087,0.0729,0,0.4224,0.4372,0.3499,0.5305,0.1671,0,1.2018,1.1408,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0000504,3,3,155,151,160,193,223,199,0.656652360515021,0.656652360515021,0.6764227642276421,0.6764227642276421,0.3596,0.5065,0.5102,0.4348,0.5849,0.7969,0,0.4639,0.4623,0.3903,0.5341,0.29600000000000004,0,0.9827,1.0819,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0034921,3,3,47,42,9,72,57,139,0.908163265306122,0.908163265306122,0.481343283582089,0.481343283582089,0.8384,0.5281,0.5204,0.4107,0.6278,0.7093,0,0.5581,0.5366,0.4211,0.6433,0.5173,0,0.9658,0.9348,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0286051,3,3,67,62,24,128,131,44,0.8431372549019609,0.8431372549019609,0.854785478547855,0.854785478547855,0.7004,0.5194,0.5164,0.4208,0.6125,0.7358,0,0.4942,0.4916,0.4053,0.5785,0.8427,0,0.9723,1.0211,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0259704,3,3,51,28,42,81,66,46,0.6528925619834711,0.6528925619834711,0.7616580310880829,0.7616580310880829,0.3807,0.6456,0.6103,0.4977,0.7135,0.0544,0,0.551,0.5468,0.4478,0.6436,0.3484,0,0.8022,0.9143,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0003310,3,3,36,36,55,58,64,76,0.5669291338582679,0.5669291338582679,0.616161616161616,0.616161616161616,0.7436,0.5,0.5007,0.3912,0.6121,0.9916,0,0.4754,0.4738,0.3724,0.5747,0.6051,0,1.0053,1.0603,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0039637,3,3,146,138,118,268,224,130,0.706467661691542,0.706467661691542,0.7909967845659159,0.7909967845659159,0.5616,0.5141,0.5151,0.4399,0.5891,0.6864,0,0.5447,0.5434,0.4775,0.6093,0.188,0,0.973,0.9184,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0039633,3,3,64,54,116,57,86,184,0.5042735042735039,0.5042735042735039,0.437308868501529,0.437308868501529,0.07400000000000001,0.5424,0.5344,0.4392,0.6287,0.496,0,0.3986,0.4118,0.3224,0.5063,0.0716,0,0.9373,1.2028,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0262738,3,3,132,121,231,110,114,380,0.5227272727272729,0.5227272727272729,0.370860927152318,0.370860927152318,0.6358,0.5217,0.5198,0.4124,0.6232,0.7044,0,0.4911,0.4822,0.3729,0.5924,0.7451,0,0.9664,1.0435,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0011336,3,3,378,387,16,556,429,55,0.979513444302177,0.979513444302177,0.9471153846153849,0.9471153846153849,0.2018,0.4941,0.4976,0.4244,0.5689,0.9520000000000001,0,0.5645,0.5593,0.4898,0.6251,0.0896,0,1.0076,0.8893,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0051547,3,3,44,30,15,51,37,17,0.831460674157303,0.831460674157303,0.8380952380952379,0.8380952380952379,0.9998,0.5946,0.5722,0.4516,0.6845,0.2284,0,0.5795,0.5724,0.4598,0.6803,0.2089,0,0.8694,0.8686,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0011335,3,3,42,35,69,63,77,131,0.5273972602739729,0.5273972602739729,0.516605166051661,0.516605166051661,0.2973,0.5455,0.5339,0.4199,0.6427,0.5587,0,0.45,0.45299999999999996,0.3535,0.5548,0.3667,0,0.94,1.1063,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0052062,3,3,96,147,687,144,181,746,0.261290322580645,0.261290322580645,0.303454715219421,0.303454715219421,0.4691,0.3951,0.409,0.3302,0.4905,0.0322,1,0.4431,0.45,0.374,0.5288,0.1991,0,1.2079,1.1097,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0029976,3,3,19,44,101,29,31,92,0.384146341463415,0.384146341463415,0.39473684210526294,0.39473684210526294,0.1136,0.3016,0.353,0.2489,0.4718,0.0169,1,0.4833,0.48700000000000004,0.36700000000000005,0.6077,0.8287,0,1.3711,1.0346,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0262975,3,3,1474,1311,827,1556,1618,1029,0.771040974529347,0.771040974529347,0.7551748750892221,0.7551748750892221,0.2053,0.5293,0.5292,0.4832,0.5736,0.1902,0,0.4902,0.4899,0.4466,0.5323,0.6198,0,0.9441,1.0215,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0262976,3,3,80,90,24,108,124,58,0.8762886597938141,0.8762886597938141,0.8,0.8,0.9258,0.4706,0.47600000000000003,0.3795,0.574,0.6129,0,0.4655,0.4706,0.3786,0.5657,0.5233,0,1.055,1.0661,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027296,3,3,33,27,2,31,60,7,0.967741935483871,0.967741935483871,0.9285714285714292,0.9285714285714292,0.0511,0.55,0.5355,0.4112,0.6545,0.568,0,0.3407,0.3691,0.2688,0.4823,0.0262,1,0.9378,1.3215,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027539,3,3,50,44,10,37,55,54,0.9038461538461541,0.9038461538461541,0.6301369863013699,0.6301369863013699,0.2247,0.5319,0.5234,0.4069,0.6367,0.6836,0,0.4022,0.42100000000000004,0.3106,0.5407,0.1871,0,0.9603,1.1845,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027538,3,3,36,36,31,39,57,52,0.699029126213592,0.699029126213592,0.6486486486486489,0.6486486486486489,0.3151,0.5,0.4998,0.3876,0.6131,0.9902,0,0.4062,0.4189,0.3104,0.5328,0.1576,0,1.0074,1.1887,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0050371,3,3,385,361,185,259,422,143,0.801288936627283,0.801288936627283,0.826456310679612,0.826456310679612,0.0296,0.5161,0.512,0.4368,0.5871,0.7393,0,0.3803,0.3899,0.3182,0.4681,0.0067,1,0.9790000000000001,1.2566,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0027535,3,3,109,80,23,213,30,76,0.891509433962264,0.891509433962264,0.761755485893417,0.761755485893417,0.0,0.5767,0.5660000000000001,0.4768,0.6517,0.1384,0,0.8765,0.8342,0.7678,0.8841,0.0,1,0.8783,0.4449,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0030718,3,3,1019,1030,1372,1115,1179,1738,0.5989476761180941,0.5989476761180941,0.568948412698413,0.568948412698413,0.818,0.4973,0.4965,0.4081,0.5859,0.9378,0,0.4861,0.4825,0.3933,0.5728,0.6987,0,1.0111,1.0405,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0030245,3,3,547,545,505,781,852,302,0.6837820914214151,0.6837820914214151,0.8439276485788109,0.8439276485788109,0.5889,0.5009,0.5002,0.435,0.5666,0.9998,0,0.4783,0.4763,0.4125,0.5423,0.4531,0,1.0019,1.0512,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0037562,3,3,78,62,14,147,2,20,0.9090909090909091,0.9090909090909091,0.881656804733728,0.881656804733728,0.0838,0.5571,0.5342,0.3647,0.6869,0.6311,0,0.9866,0.8048,0.5219,0.9379,0.0329,1,0.9455,0.4884,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0030240,3,3,85,73,44,95,103,68,0.782178217821782,0.782178217821782,0.744360902255639,0.744360902255639,0.3711,0.5379999999999999,0.5323,0.4387,0.6232,0.4849,0,0.4798,0.4736,0.3851,0.5652,0.5709,0,0.9412,1.0593,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0085242,3,3,80,106,5,127,120,12,0.973821989528796,0.973821989528796,0.9536679536679541,0.9536679536679541,0.2638,0.4301,0.4417,0.3491,0.539,0.2264,0,0.5142,0.5162,0.4231,0.6092,0.7124,0,1.131,0.9722,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0036165,3,3,161,161,472,203,192,825,0.405541561712846,0.405541561712846,0.323770491803279,0.323770491803279,0.8207,0.5,0.495,0.4074,0.5842,0.9049,0,0.5139,0.5085,0.4216,0.5933,0.8376,0,1.0142,0.9868,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0033446,3,3,3534,4589,9354,4748,5568,9596,0.46478228528923704,0.46478228528923704,0.518079550020088,0.518079550020088,0.5942,0.4351,0.4396,0.3796,0.5002,0.0513,0,0.4603,0.4606,0.4024,0.5203,0.1869,0,1.1318,1.0844,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0015509,3,3,137,239,76,255,56,419,0.831858407079646,0.831858407079646,0.426027397260274,0.426027397260274,0.008,0.3644,0.4005,0.2878,0.5344,0.1269,0,0.8199,0.7048,0.5673,0.8072,0.0087,1,1.2379,0.6488,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0040259,3,3,92,95,357,134,148,571,0.34375,0.34375,0.330597889800703,0.330597889800703,0.8553,0.49200000000000005,0.4912,0.3996,0.5829,0.8464,0,0.4752,0.4802,0.3934,0.5689,0.6382,0,1.0224,1.0449,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0040827,3,3,25857,28635,9505,21,142,46207,0.8514774130037349,0.8514774130037349,0.0035152037955574,0.0035152037955574,0.0,0.4745,0.4751,0.4222,0.5277,0.3124,0,0.1288,0.1913,0.1357,0.259,0.0,1,1.0528,2.0798,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0040256,3,3,353,656,201,462,765,351,0.833884297520661,0.833884297520661,0.7775665399239542,0.7775665399239542,0.7149,0.3499,0.3669,0.3029,0.43799999999999994,0.0018,1,0.3765,0.3832,0.3223,0.4516,0.0029,1,1.3188,1.2733,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0051950,3,3,129,160,10,193,219,16,0.9665551839464879,0.9665551839464879,0.9626168224299059,0.9626168224299059,0.8420000000000001,0.4464,0.4627,0.3764,0.5515,0.3976,0,0.4684,0.4744,0.3914,0.5611,0.5213,0,1.0827,1.0569,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0050421,3,3,35,31,44,59,62,74,0.6,0.6,0.6205128205128211,0.6205128205128211,0.6367,0.5303,0.5246,0.3977,0.6484,0.6909,0,0.4876,0.484,0.3717,0.5996,0.7831,0,0.9593,1.0402,1
dm11037_Low_vs_dm11255_Low_38d,FBgn0013272,3,3,167,194,3506,361,480,3842,0.0933540212050685,0.0933540212050685,0.179585735639547,0.179585735639547,0.6093,0.4626,0.4719,0.3757,0.5729,0.5616,0,0.4293,0.4385,0.3478,0.5365,0.1967,0,1.0639,1.1383,1
