comparison,FEATURE_ID,dm12272_01h_num_reps,dm12272_38d_num_reps,counts_dm12272_01h_g1,counts_dm12272_01h_g2,counts_dm12272_01h_both,counts_dm12272_38d_g1,counts_dm12272_38d_g2,counts_dm12272_38d_both,prior_dm12272_01h_g1,prior_dm12272_01h_g2,prior_dm12272_38d_g1,prior_dm12272_38d_g2,H3_independence_Bayes_evidence,dm12272_01h_sampleprop,dm12272_01h_theta,dm12272_01h_q025,dm12272_01h_q975,dm12272_01h_Bayes_evidence,dm12272_01h_AI_decision,dm12272_38d_sampleprop,dm12272_38d_theta,dm12272_38d_q025,dm12272_38d_q975,dm12272_38d_Bayes_evidence,dm12272_38d_AI_decision,alpha1_postmean,alpha2_postmean,flaganalyze
dm12272_01h_vs_dm12272_38d,FBgn0025373,3,3,49,44,0,162,190,3,0.5,0.5,0.9915492957746479,0.9915492957746479,0.8944,0.5269,0.5066,0.3193,0.6931,0.9342,0,0.4602,0.4886,0.2953,0.6863,0.9062,0,1.0066,1.0472,1
dm12272_01h_vs_dm12272_38d,FBgn0032208,3,3,95,5,50,291,82,178,0.666666666666667,0.666666666666667,0.676950998185118,0.676950998185118,0.0678,0.95,0.8424,0.7453,0.9068,0.0004,1,0.7802,0.7458,0.6535,0.8108,0.0011,1,0.4309,0.584,1
dm12272_01h_vs_dm12272_38d,FBgn0032200,3,3,148,158,6,565,619,9,0.9807692307692311,0.9807692307692311,0.992455993294216,0.992455993294216,0.9420000000000001,0.4837,0.4859,0.4057,0.5691,0.7296,0,0.4772,0.4823,0.4189,0.5477,0.5598,0,1.0324,1.0384,1
dm12272_01h_vs_dm12272_38d,FBgn0032202,3,3,234,288,52,998,1003,148,0.909407665505226,0.909407665505226,0.931130758492322,0.931130758492322,0.2833,0.4483,0.4528,0.389,0.5196,0.1538,0,0.4988,0.4985,0.4418,0.5539999999999999,0.9553,0,1.1023,1.0046,1
dm12272_01h_vs_dm12272_38d,FBgn0002569,3,3,56,78,38,95,83,22,0.7790697674418611,0.7790697674418611,0.89,0.89,0.1504,0.4179,0.4333,0.3411,0.5295,0.1727,0,0.5337,0.5297,0.4408,0.6178,0.518,0,1.1508,0.9457,1
dm12272_01h_vs_dm12272_38d,FBgn0003169,3,3,43,51,30,137,183,26,0.7580645161290319,0.7580645161290319,0.92485549132948,0.92485549132948,0.5967,0.4574,0.475,0.3679,0.5861,0.652,0,0.4281,0.43799999999999994,0.3533,0.5264,0.16,0,1.0588,1.1386,1
dm12272_01h_vs_dm12272_38d,FBgn0003162,3,3,39,40,489,64,98,311,0.139084507042254,0.139084507042254,0.34249471458773806,0.34249471458773806,0.2544,0.4937,0.4976,0.3838,0.6096,0.9709,0,0.3951,0.4144,0.325,0.5096,0.076,0,1.0119,1.1964,1
dm12272_01h_vs_dm12272_38d,FBgn0053258,3,3,116,117,16,582,615,39,0.9357429718875501,0.9357429718875501,0.9684466019417479,0.9684466019417479,0.868,0.4979,0.5016,0.42,0.584,0.9682,0,0.4862,0.4934,0.4301,0.5578,0.83,0,1.0003,1.0155,1
dm12272_01h_vs_dm12272_38d,FBgn0042092,3,3,38,33,9,103,88,20,0.8875,0.8875,0.90521327014218,0.90521327014218,0.7618,0.5352,0.5261,0.40299999999999997,0.6468,0.6747,0,0.5393,0.5,0.3886,0.6037,0.9804,0,0.956,1.0062,1
dm12272_01h_vs_dm12272_38d,FBgn0028398,3,3,70,176,18,388,455,41,0.931818181818182,0.931818181818182,0.953619909502262,0.953619909502262,0.0856,0.2846,0.3247,0.2284,0.4504,0.0107,1,0.4603,0.4651,0.3607,0.5764,0.4902,0,1.4623,1.0799,1
dm12272_01h_vs_dm12272_38d,FBgn0024689,3,3,28,22,0,91,88,11,0.5,0.5,0.9421052631578951,0.9421052631578951,0.9151,0.56,0.5173,0.3308,0.7019,0.8636,0,0.5084,0.502,0.3134,0.693,0.98,0,0.9843,1.0167,1
dm12272_01h_vs_dm12272_38d,FBgn0022359,3,3,28,4,46,144,14,134,0.41025641025640996,0.41025641025640996,0.541095890410959,0.541095890410959,0.08199999999999999,0.875,0.7022,0.5474,0.8258,0.0167,1,0.9114,0.8382,0.7123,0.9076,0.0011,1,0.6535,0.4374,1
dm12272_01h_vs_dm12272_38d,FBgn0035001,3,3,44,40,19,167,150,29,0.8155339805825241,0.8155339805825241,0.9161849710982659,0.9161849710982659,0.8756,0.5238,0.5151,0.405,0.6244,0.7793,0,0.5268,0.5258,0.4469,0.6045,0.5236,0,0.9762,0.9526,1
dm12272_01h_vs_dm12272_38d,FBgn0028397,3,3,28,21,51,107,92,229,0.49,0.49,0.4649532710280371,0.4649532710280371,0.8759999999999999,0.5714,0.5478,0.4249,0.6681,0.4482,0,0.5377,0.5361,0.4476,0.6235,0.4216,0,0.9148,0.9336,1
dm12272_01h_vs_dm12272_38d,FBgn0020269,3,3,16,37,41,45,52,25,0.563829787234043,0.563829787234043,0.795081967213115,0.795081967213115,0.2609,0.3019,0.3737,0.2528,0.5142,0.0704,0,0.4639,0.4758,0.358,0.6006,0.6902,0,1.3145,1.0589,1
dm12272_01h_vs_dm12272_38d,FBgn0261276,3,3,29,17,142,222,159,694,0.24468085106383,0.24468085106383,0.354418604651163,0.354418604651163,0.9191,0.6304,0.5791,0.4436,0.7068,0.2396,0,0.5827,0.5715,0.4665,0.6688,0.1702,0,0.8583,0.8694,1
dm12272_01h_vs_dm12272_38d,FBgn0261277,3,3,34,29,11,37,46,3,0.851351351351351,0.851351351351351,0.9651162790697679,0.9651162790697679,0.3898,0.5397,0.528,0.4076,0.6461,0.6444,0,0.4458,0.4563,0.3485,0.5684,0.4427,0,0.9521,1.1,1
dm12272_01h_vs_dm12272_38d,FBgn0261270,3,3,95,107,52,268,285,33,0.7952755905511808,0.7952755905511808,0.9436860068259392,0.9436860068259392,0.9562,0.4703,0.4768,0.3902,0.5670000000000001,0.5867,0,0.4846,0.4801,0.4037,0.5578,0.5884,0,1.0524,1.0442,1
dm12272_01h_vs_dm12272_38d,FBgn0031836,3,3,27,45,158,380,574,857,0.313043478260869,0.313043478260869,0.526780784097184,0.526780784097184,0.8807,0.375,0.406,0.2878,0.5324,0.1418,0,0.3983,0.4161,0.325,0.5186,0.0933,0,1.2242,1.1927,1
dm12272_01h_vs_dm12272_38d,FBgn0031832,3,3,16,41,4,55,91,2,0.934426229508197,0.934426229508197,0.9864864864864858,0.9864864864864858,0.6009,0.2807,0.3496,0.2385,0.474,0.0189,1,0.3767,0.3897,0.2934,0.4948,0.0429,1,1.3840000000000001,1.262,1
dm12272_01h_vs_dm12272_38d,FBgn0031830,3,3,3301,157,2470,12808,548,5582,0.583333333333333,0.583333333333333,0.7052487063047841,0.7052487063047841,0.5811,0.9546,0.6607,0.4141,0.9048,0.1996,0,0.9590000000000001,0.7275,0.4904,0.9258,0.0571,0,0.7268,0.6145,1
dm12272_01h_vs_dm12272_38d,FBgn0034663,3,3,242,1415,950,789,2215,1650,0.635596471039509,0.635596471039509,0.645466265577997,0.645466265577997,0.0004,0.146,0.1621,0.1338,0.1966,0.0,1,0.2626,0.2688,0.2322,0.3111,0.0,1,2.2826,1.6536,1
