Sample_id,basic_stats,base_qual,seq_qual,base_content,base_GC,seq_GC,base_N,seq_length,seq_dup,seq_overrep,kmer,percent_pass
6c-K27_S147_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,WARN,72.72
5a-K4_S119_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,90.90
6c-I_S145_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,PASS,WARN,63.63
4a-K4_S95_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
3a-K4_S137_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,PASS,81.81
6b-K4_S155_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
4a-I_S94_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,WARN,PASS,54.54
6d-I_S157_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,PASS,PASS,WARN,63.63
3c-K4_S140_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
2a-I_S112_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
3c-K27_S141_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
3c-I_S139_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
1a-K27_S90_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
4d-K27_S111_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
4c-K4_S98_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,PASS,72.72
2b-K27_S126_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,PASS,72.72
2c-I_S115_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
4c-I_S97_L004_R1_001_fastqc,PASS,PASS,PASS,FAIL,WARN,WARN,PASS,PASS,WARN,WARN,WARN,45.45
6c-I_S145_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,PASS,WARN,63.63
3a-K27_S138_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,PASS,PASS,72.72
5d-I_S133_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,PASS,PASS,PASS,72.72
5c-K4_S122_L004_R2_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,81.81
3b-K27_S150_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
6b-K4_S155_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
3a-K4_S137_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
1a-K4_S89_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,WARN,WARN,72.72
1b-K27_S102_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
3b-K27_S150_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,WARN,WARN,PASS,63.63
4b-K4_S107_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
6b-K27_S156_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,WARN,63.63
5c-K4_S122_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,WARN,81.81
2b-K4_S125_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,WARN,81.81
1d-I_S103_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
3c-K27_S141_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,PASS,72.72
2d-K27_S129_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,PASS,PASS,81.81
4d-K4_S110_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
2a-K27_S114_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,WARN,63.63
2b-K27_S126_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,PASS,WARN,63.63
6a-I_S142_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,WARN,PASS,PASS,PASS,PASS,PASS,81.81
4b-K27_S108_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,PASS,WARN,WARN,63.63
6c-K4_S146_L004_R1_001_fastqc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,WARN,PASS,90.90
1b-K27_S102_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,WARN,PASS,PASS,PASS,WARN,WARN,PASS,63.63
4c-I_S97_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,PASS,WARN,FAIL,54.54
2c-I_S115_L004_R1_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,WARN,WARN,PASS,72.72
3d-K27_S153_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,PASS,PASS,PASS,PASS,PASS,PASS,PASS,90.90
4d-I_S109_L004_R2_001_fastqc,PASS,PASS,PASS,WARN,WARN,WARN,PASS,PASS,WARN,WARN,WARN,45.45
